STT,Best Cost,Best Tree,Time
1,258073.09624106524,"[(0, 16), (0, 8), (1, 60), (1, 33), (1, 43), (2, 72), (2, 67), (3, 59), (4, 78), (4, 40), (4, 72), (5, 47), (5, 8), (6, 10), (7, 69), (9, 36), (9, 32), (9, 19), (10, 44), (10, 53), (11, 57), (11, 84), (12, 74), (13, 68), (13, 43), (14, 69), (14, 41), (14, 85), (15, 51), (15, 89), (15, 38), (17, 42), (18, 32), (18, 75), (19, 31), (20, 71), (20, 66), (21, 74), (21, 64), (22, 86), (22, 88), (23, 32), (24, 75), (24, 79), (24, 35), (25, 41), (25, 89), (26, 63), (26, 49), (27, 30), (28, 54), (29, 62), (30, 33), (31, 45), (34, 80), (34, 78), (36, 60), (36, 56), (37, 60), (38, 50), (39, 87), (41, 48), (42, 55), (43, 66), (46, 63), (46, 66), (47, 52), (47, 74), (48, 87), (51, 65), (52, 77), (53, 79), (54, 56), (55, 86), (56, 86), (57, 67), (58, 81), (59, 72), (59, 64), (61, 85), (62, 68), (63, 78), (65, 81), (68, 87), (69, 82), (70, 83), (73, 76), (75, 76), (81, 83)]",845.6450486183167
2,290977.0378362444,"[(0, 46), (1, 18), (1, 11), (1, 66), (2, 67), (3, 75), (3, 49), (4, 41), (4, 9), (5, 38), (5, 30), (5, 74), (6, 36), (6, 53), (7, 76), (8, 25), (8, 67), (9, 87), (10, 29), (10, 23), (10, 61), (11, 24), (11, 20), (12, 66), (12, 43), (12, 57), (13, 83), (13, 84), (14, 81), (15, 87), (15, 22), (16, 27), (17, 18), (18, 48), (19, 24), (20, 55), (21, 33), (22, 75), (24, 76), (25, 62), (25, 56), (26, 72), (26, 40), (27, 45), (27, 31), (28, 53), (28, 82), (28, 85), (29, 53), (30, 89), (30, 54), (32, 63), (33, 77), (33, 42), (34, 88), (34, 50), (35, 64), (35, 44), (36, 57), (36, 73), (37, 55), (38, 45), (38, 43), (39, 42), (39, 41), (41, 68), (44, 56), (45, 78), (46, 63), (46, 61), (47, 83), (50, 68), (51, 60), (52, 58), (56, 58), (59, 78), (60, 77), (61, 69), (62, 74), (64, 70), (65, 86), (65, 79), (66, 86), (67, 88), (70, 71), (72, 80), (73, 81), (77, 80), (83, 87)]",894.1926443576813
3,310297.753952481,"[(0, 37), (0, 69), (0, 22), (1, 25), (1, 33), (1, 66), (2, 45), (3, 28), (3, 32), (3, 82), (4, 59), (4, 12), (5, 17), (6, 69), (7, 22), (7, 79), (7, 29), (8, 79), (8, 21), (9, 60), (9, 73), (10, 12), (11, 14), (11, 81), (12, 75), (13, 27), (14, 62), (14, 59), (15, 48), (15, 42), (16, 61), (16, 60), (17, 64), (17, 46), (18, 80), (18, 76), (19, 51), (19, 43), (19, 86), (20, 23), (20, 70), (21, 83), (22, 26), (23, 34), (24, 41), (25, 29), (27, 78), (27, 67), (28, 57), (28, 88), (29, 39), (30, 32), (30, 71), (30, 73), (31, 88), (33, 55), (33, 51), (34, 53), (35, 85), (35, 48), (35, 36), (37, 63), (38, 89), (39, 78), (40, 45), (40, 88), (41, 70), (43, 70), (43, 84), (44, 59), (46, 68), (47, 60), (49, 64), (50, 86), (52, 77), (54, 63), (54, 64), (55, 56), (57, 89), (57, 58), (61, 69), (62, 85), (62, 66), (65, 74), (66, 80), (71, 74), (71, 77), (72, 87), (80, 87)]",784.8662307262421
4,295952.8647295454,"[(0, 14), (0, 48), (1, 78), (2, 67), (3, 35), (4, 45), (4, 40), (5, 53), (5, 14), (6, 52), (6, 18), (7, 60), (8, 55), (8, 30), (9, 59), (9, 19), (9, 57), (10, 62), (11, 62), (12, 32), (12, 56), (12, 88), (13, 77), (13, 46), (13, 70), (15, 87), (16, 47), (16, 44), (17, 80), (17, 23), (18, 27), (20, 89), (21, 38), (22, 81), (23, 34), (24, 88), (25, 44), (26, 76), (27, 63), (27, 78), (28, 55), (29, 51), (29, 85), (30, 73), (30, 57), (31, 34), (32, 39), (33, 66), (34, 49), (35, 56), (35, 72), (36, 87), (37, 73), (38, 83), (38, 77), (39, 58), (41, 49), (42, 75), (42, 74), (43, 56), (43, 50), (44, 60), (45, 59), (46, 82), (47, 81), (48, 77), (49, 55), (50, 65), (50, 84), (54, 75), (54, 82), (57, 61), (59, 75), (60, 86), (62, 64), (64, 73), (64, 89), (65, 85), (66, 86), (67, 86), (67, 76), (68, 69), (68, 83), (70, 79), (71, 89), (74, 81), (78, 88), (80, 87), (82, 85)]",726.2013621330261
5,304973.1632862973,"[(0, 15), (0, 70), (0, 59), (1, 72), (1, 11), (1, 28), (2, 36), (2, 67), (2, 78), (3, 59), (4, 24), (4, 76), (4, 61), (5, 17), (6, 45), (6, 63), (7, 46), (7, 42), (7, 55), (8, 29), (8, 47), (8, 12), (9, 22), (9, 46), (10, 62), (10, 26), (11, 47), (11, 74), (12, 68), (13, 29), (14, 64), (15, 34), (15, 16), (16, 28), (17, 70), (18, 35), (18, 76), (19, 24), (20, 48), (20, 86), (21, 25), (23, 87), (23, 66), (24, 37), (25, 88), (27, 54), (27, 73), (28, 78), (30, 87), (30, 89), (30, 32), (31, 50), (33, 80), (33, 60), (33, 43), (35, 85), (36, 49), (38, 62), (38, 48), (38, 52), (39, 80), (39, 88), (39, 58), (40, 46), (40, 54), (41, 83), (42, 80), (42, 47), (43, 83), (44, 89), (50, 65), (50, 67), (51, 54), (51, 69), (52, 79), (53, 82), (53, 77), (55, 76), (55, 81), (56, 75), (57, 82), (62, 74), (63, 67), (64, 83), (68, 75), (68, 84), (70, 71), (74, 87), (77, 81)]",741.9162409305573
6,278664.8041138728,"[(0, 35), (0, 42), (0, 38), (1, 63), (1, 55), (1, 53), (2, 32), (3, 22), (4, 56), (5, 80), (6, 73), (6, 26), (7, 27), (8, 36), (8, 81), (8, 71), (9, 33), (10, 32), (10, 14), (10, 65), (11, 72), (11, 81), (11, 66), (12, 36), (13, 25), (13, 41), (14, 28), (14, 21), (15, 52), (15, 88), (15, 50), (16, 86), (17, 85), (17, 24), (18, 82), (19, 53), (20, 21), (20, 88), (22, 62), (22, 73), (23, 79), (23, 69), (24, 81), (24, 80), (25, 75), (25, 46), (26, 34), (27, 66), (27, 83), (28, 36), (29, 89), (29, 87), (30, 70), (31, 40), (31, 43), (32, 68), (33, 80), (33, 77), (34, 78), (34, 51), (35, 76), (37, 70), (38, 67), (38, 84), (39, 55), (40, 63), (40, 57), (41, 47), (44, 45), (44, 64), (45, 68), (45, 73), (48, 55), (48, 54), (49, 69), (50, 58), (56, 74), (57, 68), (58, 75), (58, 59), (60, 64), (60, 70), (61, 77), (71, 79), (71, 74), (72, 89), (74, 84), (82, 88), (86, 87)]",975.4464406967164
7,270977.88900579995,"[(0, 20), (0, 81), (0, 58), (1, 86), (2, 88), (2, 3), (2, 78), (3, 38), (4, 48), (5, 56), (5, 81), (5, 87), (6, 18), (6, 76), (7, 27), (7, 86), (8, 80), (8, 38), (8, 70), (9, 73), (9, 64), (10, 51), (10, 13), (11, 83), (11, 43), (11, 39), (12, 20), (14, 43), (14, 53), (14, 36), (15, 77), (15, 66), (16, 35), (17, 27), (18, 60), (19, 68), (21, 55), (21, 45), (21, 29), (22, 74), (23, 64), (24, 39), (24, 61), (24, 26), (25, 79), (25, 85), (26, 31), (27, 72), (28, 59), (28, 51), (28, 34), (29, 68), (29, 52), (30, 34), (30, 39), (30, 84), (31, 41), (32, 78), (33, 35), (33, 89), (34, 57), (35, 57), (36, 49), (37, 66), (38, 74), (40, 56), (40, 69), (42, 66), (42, 86), (43, 55), (44, 45), (44, 65), (46, 82), (47, 71), (48, 71), (50, 77), (53, 78), (53, 85), (54, 89), (56, 59), (59, 62), (63, 88), (64, 83), (65, 77), (67, 75), (67, 82), (71, 89), (72, 82), (75, 76)]",784.9175372123718
8,294498.1734904365,"[(0, 47), (0, 5), (1, 39), (2, 20), (2, 26), (2, 27), (3, 64), (3, 6), (3, 38), (4, 31), (4, 87), (5, 39), (5, 66), (6, 79), (7, 80), (7, 46), (8, 20), (8, 73), (9, 67), (10, 13), (10, 68), (10, 34), (11, 15), (11, 22), (12, 18), (12, 74), (13, 24), (14, 25), (14, 62), (15, 30), (15, 49), (16, 65), (17, 19), (17, 60), (18, 24), (18, 28), (19, 61), (19, 74), (20, 54), (21, 60), (21, 53), (21, 41), (23, 68), (23, 76), (27, 57), (27, 82), (28, 78), (29, 77), (30, 75), (30, 81), (31, 35), (32, 59), (33, 65), (33, 48), (33, 85), (34, 40), (35, 59), (35, 80), (36, 45), (37, 87), (39, 54), (40, 84), (41, 62), (42, 66), (43, 58), (43, 86), (44, 66), (45, 68), (48, 79), (48, 73), (49, 83), (50, 69), (51, 65), (51, 74), (52, 77), (53, 89), (55, 58), (55, 70), (56, 67), (57, 87), (62, 71), (63, 67), (63, 73), (69, 75), (70, 75), (70, 85), (72, 78), (72, 88), (77, 80)]",796.3741235733032
9,284602.8828306634,"[(0, 86), (1, 18), (1, 11), (1, 39), (2, 34), (2, 32), (3, 32), (4, 18), (4, 60), (4, 40), (5, 42), (5, 19), (6, 61), (7, 35), (7, 28), (7, 72), (8, 70), (9, 19), (9, 50), (10, 60), (11, 79), (11, 70), (12, 67), (13, 61), (13, 33), (13, 48), (14, 46), (15, 30), (15, 25), (16, 48), (17, 53), (17, 49), (18, 30), (19, 82), (20, 24), (20, 49), (21, 33), (21, 71), (21, 89), (22, 58), (22, 24), (23, 34), (24, 54), (26, 51), (26, 80), (26, 46), (27, 38), (27, 87), (28, 84), (29, 48), (29, 37), (31, 62), (31, 84), (31, 73), (33, 83), (34, 60), (35, 64), (35, 57), (36, 75), (38, 57), (41, 89), (41, 64), (41, 70), (43, 45), (44, 66), (44, 51), (45, 78), (47, 79), (47, 55), (49, 69), (50, 69), (51, 59), (52, 79), (53, 77), (56, 61), (56, 86), (57, 85), (58, 67), (59, 78), (63, 71), (64, 65), (66, 76), (66, 86), (68, 74), (68, 76), (72, 75), (76, 82), (78, 88), (81, 83)]",793.1579163074493
10,314061.1843897036,"[(0, 5), (0, 66), (1, 83), (1, 81), (2, 18), (2, 23), (3, 31), (3, 73), (4, 28), (5, 78), (5, 13), (6, 76), (6, 78), (6, 55), (7, 77), (7, 30), (7, 39), (8, 74), (9, 24), (9, 30), (10, 71), (11, 20), (12, 55), (13, 32), (13, 52), (14, 67), (14, 47), (14, 21), (15, 85), (15, 25), (16, 17), (16, 61), (17, 75), (18, 56), (18, 72), (19, 73), (19, 22), (20, 24), (21, 26), (21, 60), (24, 65), (25, 31), (26, 32), (27, 46), (28, 50), (28, 75), (29, 87), (29, 89), (30, 45), (33, 54), (33, 79), (33, 50), (34, 58), (35, 57), (36, 88), (37, 77), (38, 39), (40, 56), (41, 72), (42, 61), (42, 70), (43, 79), (43, 86), (43, 69), (44, 57), (44, 48), (44, 64), (46, 52), (48, 58), (49, 80), (50, 68), (51, 76), (53, 72), (53, 77), (54, 59), (54, 71), (56, 82), (57, 65), (58, 75), (60, 65), (62, 69), (63, 64), (64, 74), (67, 84), (68, 73), (78, 87), (79, 81), (80, 87), (80, 88)]",719.0093986988068
