STT,Best Cost,Best Tree,Time,Is Tree?
1,279134.4795130958,"[(0, 11), (0, 13), (0, 70), (1, 63), (2, 36), (2, 79), (3, 23), (3, 15), (4, 35), (5, 27), (5, 67), (6, 52), (7, 37), (8, 84), (8, 76), (9, 13), (9, 64), (10, 68), (10, 21), (12, 69), (14, 43), (14, 29), (14, 70), (15, 65), (15, 26), (16, 27), (16, 59), (17, 47), (18, 38), (19, 75), (19, 37), (20, 77), (20, 82), (21, 88), (21, 50), (22, 39), (23, 61), (23, 46), (24, 89), (25, 64), (25, 54), (26, 37), (26, 47), (27, 83), (28, 47), (28, 70), (29, 33), (30, 33), (30, 57), (31, 79), (32, 46), (32, 34), (33, 42), (34, 40), (34, 84), (35, 89), (35, 51), (38, 54), (39, 41), (39, 74), (40, 87), (43, 89), (44, 51), (45, 74), (45, 52), (46, 79), (48, 58), (48, 62), (48, 72), (49, 85), (51, 53), (54, 69), (55, 77), (56, 75), (58, 60), (58, 66), (59, 73), (60, 86), (60, 83), (61, 81), (63, 88), (71, 77), (73, 74), (78, 82), (80, 86), (81, 83), (82, 86), (85, 88), (85, 87)]",867.7724859714508,True
2,289397.62708569126,"[(0, 88), (0, 7), (0, 81), (1, 21), (1, 65), (1, 61), (2, 74), (2, 41), (2, 12), (3, 26), (3, 18), (4, 76), (4, 34), (4, 45), (5, 88), (5, 54), (6, 22), (6, 15), (7, 44), (8, 61), (8, 55), (9, 15), (10, 30), (11, 68), (12, 49), (13, 42), (13, 62), (14, 29), (15, 65), (16, 46), (17, 41), (17, 63), (19, 51), (20, 89), (21, 53), (21, 38), (22, 63), (23, 62), (24, 71), (24, 78), (25, 75), (25, 68), (25, 27), (26, 66), (26, 31), (27, 66), (28, 66), (28, 78), (29, 33), (29, 70), (30, 67), (32, 36), (32, 47), (33, 87), (33, 60), (35, 60), (36, 42), (37, 73), (37, 43), (38, 45), (39, 83), (40, 51), (40, 50), (40, 86), (41, 75), (42, 46), (44, 64), (45, 77), (46, 54), (47, 77), (48, 64), (49, 79), (52, 79), (53, 83), (54, 69), (56, 73), (56, 80), (56, 63), (57, 73), (58, 84), (59, 71), (60, 78), (61, 67), (68, 86), (72, 80), (72, 85), (74, 84), (75, 82), (87, 89)]",779.4634656906128,True
3,275246.16943759506,"[(0, 72), (1, 81), (1, 6), (1, 8), (2, 21), (3, 9), (4, 54), (5, 30), (7, 23), (8, 59), (8, 49), (9, 11), (9, 26), (10, 18), (10, 46), (11, 40), (11, 85), (12, 59), (13, 75), (13, 67), (14, 61), (15, 51), (15, 17), (15, 21), (16, 53), (16, 71), (16, 72), (18, 32), (18, 52), (19, 61), (19, 58), (19, 25), (20, 48), (20, 45), (20, 84), (21, 83), (22, 55), (22, 82), (23, 70), (24, 29), (25, 56), (26, 35), (26, 83), (27, 48), (27, 75), (28, 64), (28, 66), (28, 60), (29, 80), (30, 51), (31, 47), (31, 41), (32, 88), (33, 53), (34, 47), (35, 44), (36, 52), (36, 53), (36, 74), (37, 81), (38, 54), (39, 79), (39, 75), (39, 86), (40, 55), (42, 66), (42, 87), (43, 56), (45, 76), (47, 58), (48, 55), (49, 63), (49, 67), (50, 73), (51, 70), (54, 86), (57, 81), (58, 78), (60, 62), (60, 77), (61, 89), (62, 82), (64, 68), (65, 87), (66, 71), (69, 83), (70, 80), (73, 89), (85, 89)]",764.9647915363312,True
4,268619.09513934614,"[(0, 14), (0, 64), (1, 49), (1, 13), (1, 70), (2, 21), (3, 26), (3, 45), (3, 4), (4, 79), (5, 6), (5, 18), (5, 47), (7, 86), (7, 80), (7, 38), (8, 54), (8, 39), (9, 28), (9, 84), (10, 46), (11, 26), (11, 49), (11, 80), (12, 52), (13, 19), (13, 88), (14, 47), (14, 57), (15, 81), (16, 36), (16, 46), (17, 31), (18, 65), (18, 79), (19, 56), (19, 31), (20, 58), (20, 67), (21, 68), (22, 85), (22, 86), (23, 47), (23, 55), (23, 69), (24, 30), (25, 82), (25, 75), (25, 29), (26, 54), (27, 29), (27, 81), (27, 53), (28, 72), (28, 83), (30, 89), (30, 35), (32, 74), (33, 89), (33, 44), (33, 45), (34, 82), (35, 78), (35, 63), (37, 55), (40, 51), (41, 65), (41, 46), (41, 58), (42, 82), (43, 45), (48, 55), (50, 57), (51, 75), (51, 60), (52, 67), (54, 66), (58, 77), (59, 72), (61, 87), (62, 88), (63, 72), (66, 81), (68, 80), (68, 71), (73, 85), (74, 83), (76, 77), (87, 89)]",706.7486250400543,True
5,260908.85237980535,"[(0, 57), (1, 14), (2, 85), (2, 72), (2, 38), (3, 26), (3, 75), (3, 18), (4, 35), (5, 68), (5, 25), (5, 35), (6, 45), (6, 15), (7, 29), (8, 65), (8, 47), (8, 87), (9, 61), (10, 71), (11, 80), (11, 74), (11, 37), (12, 16), (12, 77), (13, 25), (13, 67), (13, 89), (14, 39), (15, 22), (16, 51), (17, 55), (17, 39), (17, 54), (18, 51), (19, 61), (20, 46), (21, 22), (22, 72), (23, 41), (24, 85), (26, 31), (27, 61), (27, 56), (27, 76), (28, 74), (28, 50), (29, 56), (29, 39), (30, 43), (30, 82), (30, 63), (32, 47), (33, 44), (34, 53), (35, 59), (36, 41), (36, 45), (37, 42), (37, 81), (38, 46), (38, 79), (40, 75), (40, 78), (41, 88), (42, 64), (43, 57), (43, 44), (44, 70), (45, 60), (48, 53), (49, 82), (51, 87), (52, 69), (52, 58), (53, 72), (55, 86), (55, 84), (58, 82), (59, 73), (59, 79), (62, 83), (66, 77), (70, 88), (71, 86), (74, 83), (75, 85), (78, 80), (80, 86)]",733.7531261444092,True
6,293700.71747789695,"[(0, 50), (1, 40), (1, 49), (2, 57), (3, 79), (4, 43), (4, 17), (4, 32), (5, 63), (5, 44), (6, 35), (6, 38), (6, 65), (7, 43), (7, 74), (7, 83), (8, 48), (9, 36), (10, 31), (11, 42), (12, 32), (12, 72), (12, 75), (13, 44), (13, 55), (13, 43), (14, 30), (14, 34), (15, 66), (15, 54), (16, 65), (17, 41), (17, 60), (18, 81), (18, 49), (19, 30), (19, 47), (19, 64), (20, 82), (21, 52), (21, 48), (21, 47), (22, 61), (22, 70), (23, 35), (24, 45), (24, 78), (25, 70), (26, 36), (26, 87), (26, 53), (27, 84), (27, 49), (28, 66), (28, 52), (29, 40), (30, 70), (31, 45), (31, 51), (33, 56), (35, 46), (36, 85), (37, 81), (37, 69), (39, 68), (39, 51), (39, 86), (42, 57), (46, 59), (46, 84), (47, 57), (48, 50), (51, 85), (55, 79), (56, 74), (58, 66), (58, 71), (58, 69), (59, 74), (59, 62), (62, 77), (63, 80), (64, 87), (65, 82), (67, 81), (69, 76), (73, 86), (84, 88), (85, 89)]",765.173344373703,True
7,276229.8469763159,"[(0, 5), (1, 63), (1, 39), (1, 15), (2, 65), (2, 82), (3, 66), (3, 20), (4, 34), (4, 80), (5, 63), (5, 73), (6, 22), (6, 65), (6, 49), (7, 78), (7, 60), (8, 67), (8, 16), (9, 36), (9, 55), (9, 18), (10, 22), (10, 87), (10, 52), (11, 26), (11, 28), (11, 75), (12, 83), (13, 25), (13, 80), (13, 89), (14, 39), (14, 88), (14, 33), (15, 62), (15, 59), (17, 49), (18, 45), (19, 37), (19, 74), (19, 41), (21, 40), (22, 77), (23, 53), (24, 32), (25, 30), (25, 56), (27, 58), (27, 70), (28, 53), (28, 46), (29, 40), (29, 42), (29, 52), (30, 85), (31, 86), (32, 35), (32, 79), (34, 38), (34, 52), (36, 64), (38, 43), (38, 78), (39, 53), (40, 67), (41, 51), (44, 73), (46, 83), (46, 48), (47, 49), (48, 79), (50, 89), (51, 56), (54, 55), (57, 73), (58, 71), (58, 69), (59, 86), (61, 81), (63, 66), (64, 70), (64, 65), (67, 75), (68, 78), (70, 81), (72, 83), (76, 79), (81, 84)]",782.3864297866821,True
8,266319.0270963283,"[(0, 85), (0, 70), (1, 79), (1, 56), (2, 21), (2, 11), (3, 11), (3, 26), (4, 52), (4, 8), (4, 20), (5, 81), (6, 40), (6, 68), (6, 31), (7, 37), (7, 29), (7, 46), (8, 35), (9, 55), (9, 59), (9, 69), (10, 26), (11, 45), (12, 60), (13, 25), (14, 40), (15, 16), (16, 63), (16, 45), (17, 41), (17, 71), (17, 52), (18, 19), (19, 88), (19, 84), (20, 54), (20, 36), (21, 51), (22, 67), (22, 64), (23, 40), (24, 28), (24, 75), (25, 88), (26, 60), (27, 68), (27, 62), (29, 39), (29, 78), (30, 78), (30, 43), (32, 84), (33, 89), (33, 51), (34, 78), (34, 77), (35, 38), (37, 83), (38, 68), (38, 61), (39, 85), (39, 79), (42, 81), (44, 61), (45, 49), (47, 76), (48, 79), (50, 56), (53, 86), (53, 60), (53, 82), (54, 81), (54, 77), (55, 58), (55, 72), (57, 64), (58, 80), (59, 74), (63, 67), (65, 74), (66, 74), (72, 88), (73, 89), (73, 85), (75, 80), (75, 83), (76, 77), (87, 89)]",706.6873826980591,True
9,298668.2911603086,"[(0, 67), (0, 27), (0, 82), (1, 29), (2, 12), (2, 20), (3, 20), (3, 78), (3, 34), (4, 55), (4, 32), (5, 61), (5, 75), (6, 88), (6, 27), (6, 47), (7, 40), (7, 86), (8, 12), (8, 49), (9, 28), (10, 64), (10, 36), (11, 34), (11, 50), (13, 22), (14, 23), (15, 19), (15, 44), (15, 37), (16, 80), (17, 55), (18, 32), (18, 28), (21, 33), (21, 72), (22, 70), (23, 41), (23, 84), (24, 54), (24, 26), (25, 38), (25, 88), (26, 68), (26, 53), (29, 33), (30, 48), (30, 83), (30, 40), (31, 77), (32, 73), (33, 50), (34, 35), (36, 84), (36, 77), (37, 68), (37, 65), (38, 53), (38, 58), (39, 45), (42, 64), (43, 50), (43, 85), (43, 69), (44, 66), (44, 79), (45, 55), (45, 49), (46, 71), (46, 68), (47, 60), (49, 81), (51, 72), (51, 57), (51, 89), (52, 86), (52, 75), (54, 62), (56, 57), (56, 70), (59, 60), (60, 76), (62, 80), (63, 80), (64, 76), (67, 73), (70, 87), (74, 82), (78, 86)]",797.304915189743,True
10,265321.4252041511,"[(0, 38), (0, 13), (1, 64), (1, 72), (1, 46), (2, 22), (2, 78), (2, 45), (3, 24), (4, 27), (5, 64), (5, 12), (5, 17), (6, 52), (7, 14), (8, 83), (8, 61), (8, 48), (9, 23), (10, 34), (10, 82), (10, 62), (11, 43), (13, 51), (13, 48), (14, 19), (14, 65), (15, 80), (16, 17), (18, 62), (19, 54), (20, 26), (21, 68), (21, 66), (21, 80), (22, 55), (22, 41), (23, 62), (23, 37), (24, 52), (24, 32), (25, 42), (25, 67), (25, 79), (26, 36), (27, 44), (27, 84), (28, 45), (29, 54), (29, 85), (30, 81), (31, 41), (32, 82), (33, 61), (35, 79), (35, 58), (35, 47), (36, 78), (37, 53), (37, 56), (38, 57), (38, 53), (39, 54), (39, 66), (39, 77), (40, 78), (40, 49), (40, 75), (43, 81), (44, 57), (45, 60), (48, 71), (49, 71), (49, 59), (50, 88), (57, 67), (59, 74), (61, 68), (63, 73), (64, 87), (68, 73), (69, 71), (69, 72), (70, 85), (74, 76), (77, 88), (81, 88), (86, 89), (87, 89)]",764.146623134613,True
