STT,Best Cost,Best Tree,Time
1,268180.2444680967,"[(0, 74), (1, 8), (1, 38), (1, 28), (2, 46), (2, 51), (2, 85), (3, 87), (3, 64), (3, 37), (4, 64), (5, 81), (6, 53), (6, 52), (6, 87), (7, 41), (9, 86), (9, 80), (10, 54), (10, 60), (11, 64), (12, 25), (13, 43), (13, 39), (14, 67), (15, 71), (15, 29), (16, 47), (17, 20), (17, 82), (18, 85), (18, 88), (18, 37), (19, 81), (20, 61), (20, 62), (21, 67), (22, 30), (22, 32), (22, 23), (23, 33), (23, 36), (24, 72), (24, 79), (25, 27), (26, 28), (26, 69), (26, 48), (27, 38), (31, 65), (32, 44), (33, 87), (33, 50), (34, 41), (34, 63), (34, 82), (35, 88), (35, 68), (37, 55), (38, 75), (39, 89), (40, 85), (41, 79), (42, 59), (42, 60), (43, 69), (45, 84), (47, 58), (47, 74), (48, 71), (49, 63), (50, 57), (50, 56), (51, 78), (53, 76), (55, 84), (56, 62), (57, 65), (58, 88), (58, 83), (59, 69), (60, 70), (62, 71), (66, 86), (66, 77), (66, 75), (67, 86), (70, 81), (70, 73)]",670.7114224433899
2,274359.50906770374,"[(0, 31), (0, 86), (0, 23), (1, 42), (1, 87), (1, 88), (2, 34), (3, 60), (4, 38), (5, 81), (5, 62), (6, 9), (6, 57), (7, 27), (7, 8), (7, 65), (8, 14), (9, 21), (10, 49), (11, 38), (11, 66), (11, 24), (12, 53), (13, 21), (13, 18), (14, 56), (14, 16), (15, 25), (15, 41), (16, 23), (16, 32), (17, 77), (17, 35), (18, 28), (19, 22), (19, 88), (19, 53), (20, 69), (20, 58), (20, 83), (21, 25), (22, 64), (23, 54), (25, 44), (26, 54), (27, 80), (28, 47), (29, 45), (29, 85), (30, 87), (30, 78), (31, 51), (31, 70), (32, 60), (33, 45), (34, 37), (34, 79), (36, 84), (37, 63), (39, 83), (40, 67), (40, 66), (40, 63), (41, 52), (42, 84), (43, 85), (44, 81), (45, 76), (46, 57), (47, 84), (48, 58), (48, 60), (48, 72), (49, 58), (50, 51), (50, 71), (50, 59), (55, 89), (56, 77), (57, 83), (59, 76), (61, 75), (63, 86), (64, 68), (66, 73), (67, 75), (74, 86), (76, 89), (82, 85)]",731.1326489448547
3,259878.1330962212,"[(0, 70), (1, 61), (1, 70), (2, 72), (3, 22), (3, 14), (3, 10), (4, 11), (5, 28), (6, 17), (7, 9), (8, 22), (9, 59), (9, 50), (10, 54), (10, 76), (11, 86), (11, 30), (12, 66), (12, 40), (13, 46), (14, 17), (15, 19), (15, 20), (15, 62), (16, 82), (16, 35), (16, 53), (17, 31), (18, 89), (19, 26), (19, 67), (20, 84), (21, 78), (21, 89), (21, 40), (22, 86), (23, 83), (23, 55), (23, 45), (24, 38), (24, 47), (24, 56), (25, 30), (26, 69), (27, 35), (28, 51), (28, 37), (29, 60), (30, 39), (31, 73), (31, 32), (32, 81), (32, 85), (33, 41), (34, 67), (34, 72), (36, 38), (36, 41), (37, 48), (37, 50), (38, 82), (39, 70), (39, 42), (42, 63), (42, 68), (43, 53), (44, 52), (44, 77), (46, 89), (46, 49), (47, 64), (48, 79), (50, 72), (51, 78), (52, 75), (52, 68), (53, 60), (57, 60), (58, 65), (61, 74), (61, 71), (62, 88), (63, 87), (63, 83), (65, 67), (68, 78), (80, 87), (82, 83)]",759.2915270328522
4,283429.1568288351,"[(0, 58), (0, 16), (0, 6), (1, 40), (1, 25), (2, 85), (2, 79), (2, 3), (3, 54), (3, 77), (4, 34), (5, 84), (5, 9), (5, 52), (6, 32), (7, 32), (8, 40), (8, 60), (8, 41), (9, 14), (9, 63), (10, 63), (11, 51), (12, 68), (13, 71), (13, 15), (14, 34), (14, 20), (15, 76), (16, 45), (16, 25), (17, 83), (18, 56), (18, 53), (18, 46), (19, 26), (21, 31), (21, 73), (22, 75), (23, 77), (24, 36), (26, 27), (27, 36), (28, 53), (29, 33), (29, 80), (30, 76), (31, 77), (32, 78), (33, 54), (34, 66), (35, 53), (36, 68), (37, 47), (38, 85), (39, 64), (42, 86), (43, 70), (43, 66), (44, 82), (45, 47), (45, 86), (46, 83), (46, 81), (47, 89), (48, 84), (49, 65), (50, 60), (51, 80), (52, 68), (52, 87), (55, 56), (55, 71), (56, 69), (57, 62), (57, 74), (57, 65), (58, 74), (59, 81), (61, 89), (64, 74), (66, 83), (67, 75), (69, 88), (71, 86), (72, 82), (75, 80), (78, 82), (79, 84)]",757.7659850120544
5,281993.2084250923,"[(0, 4), (1, 10), (1, 42), (2, 7), (2, 27), (2, 63), (3, 66), (4, 70), (5, 14), (5, 59), (5, 84), (6, 55), (6, 29), (6, 19), (7, 33), (7, 89), (8, 38), (9, 12), (9, 21), (9, 11), (11, 52), (12, 37), (12, 42), (13, 26), (14, 16), (15, 52), (15, 54), (15, 69), (17, 36), (17, 53), (18, 56), (19, 25), (20, 45), (20, 57), (21, 51), (21, 68), (22, 66), (22, 86), (23, 26), (24, 65), (24, 50), (24, 67), (26, 79), (27, 70), (27, 73), (28, 49), (30, 82), (30, 68), (30, 41), (31, 67), (32, 69), (32, 81), (33, 85), (34, 45), (35, 73), (35, 83), (36, 49), (36, 47), (38, 47), (38, 78), (39, 57), (40, 68), (41, 44), (42, 71), (43, 84), (44, 78), (44, 87), (46, 56), (47, 58), (48, 49), (48, 74), (50, 57), (51, 56), (52, 85), (55, 88), (59, 60), (60, 82), (61, 79), (61, 88), (62, 64), (64, 82), (65, 81), (66, 84), (72, 74), (75, 76), (76, 80), (77, 80), (79, 81), (80, 85)]",694.5910801887512
6,281178.59345623734,"[(0, 44), (0, 27), (0, 74), (1, 67), (1, 32), (1, 38), (2, 77), (3, 33), (4, 31), (5, 71), (5, 34), (5, 63), (6, 22), (6, 86), (6, 41), (7, 44), (8, 78), (9, 76), (9, 38), (10, 42), (11, 83), (11, 16), (11, 35), (12, 38), (12, 44), (13, 26), (13, 45), (14, 51), (14, 52), (14, 16), (15, 75), (15, 64), (15, 37), (16, 47), (17, 70), (18, 72), (18, 61), (18, 48), (19, 20), (20, 47), (20, 88), (21, 31), (21, 34), (21, 36), (22, 85), (22, 68), (23, 70), (24, 66), (24, 81), (24, 49), (25, 66), (25, 85), (25, 75), (27, 82), (28, 89), (29, 55), (30, 45), (30, 32), (30, 80), (32, 60), (33, 62), (34, 56), (36, 73), (39, 73), (40, 72), (40, 68), (41, 70), (42, 76), (43, 47), (46, 48), (50, 62), (50, 89), (50, 67), (52, 53), (53, 81), (53, 69), (54, 75), (55, 65), (56, 57), (58, 83), (59, 71), (60, 65), (63, 72), (65, 79), (67, 85), (73, 87), (77, 86), (78, 83), (81, 84)]",6531.034764051437
7,264040.9363886035,"[(0, 51), (0, 45), (0, 30), (1, 14), (1, 65), (1, 59), (2, 16), (2, 66), (3, 84), (4, 44), (5, 24), (5, 49), (5, 56), (6, 51), (6, 55), (6, 25), (7, 79), (8, 32), (9, 27), (9, 43), (9, 80), (10, 73), (11, 44), (11, 40), (12, 18), (13, 73), (13, 87), (13, 70), (14, 31), (14, 29), (15, 61), (15, 53), (16, 89), (16, 45), (17, 35), (18, 49), (19, 34), (19, 41), (20, 59), (21, 85), (21, 79), (21, 63), (22, 83), (22, 29), (23, 24), (23, 78), (24, 25), (25, 87), (26, 64), (26, 79), (26, 46), (28, 67), (28, 57), (28, 74), (29, 45), (31, 75), (31, 33), (32, 63), (32, 88), (33, 43), (34, 82), (34, 44), (35, 75), (36, 54), (36, 46), (37, 62), (37, 67), (37, 69), (38, 57), (38, 40), (39, 87), (41, 86), (42, 76), (42, 63), (42, 61), (43, 81), (46, 71), (47, 89), (48, 74), (50, 81), (51, 52), (52, 67), (55, 88), (57, 77), (58, 84), (60, 72), (68, 82), (72, 81), (84, 88)]",757.8721115589142
8,253304.5970712486,"[(0, 68), (0, 67), (1, 79), (2, 65), (2, 59), (2, 21), (3, 46), (3, 36), (3, 42), (4, 80), (5, 32), (5, 59), (5, 55), (6, 85), (6, 86), (6, 35), (7, 36), (8, 51), (9, 51), (9, 37), (10, 13), (10, 72), (10, 26), (11, 51), (12, 76), (13, 52), (13, 16), (14, 74), (14, 78), (15, 65), (16, 49), (17, 43), (17, 53), (18, 57), (18, 81), (19, 61), (19, 75), (20, 63), (21, 64), (22, 78), (23, 28), (23, 25), (24, 56), (24, 30), (24, 27), (27, 86), (28, 46), (29, 44), (29, 47), (31, 45), (32, 52), (33, 64), (33, 41), (34, 81), (35, 43), (35, 70), (37, 50), (38, 79), (38, 63), (38, 52), (39, 42), (40, 58), (40, 76), (40, 66), (41, 83), (43, 44), (44, 48), (45, 78), (46, 71), (47, 54), (48, 60), (48, 71), (49, 57), (49, 84), (50, 89), (55, 88), (56, 59), (58, 74), (60, 80), (60, 68), (61, 65), (62, 89), (62, 69), (68, 77), (69, 71), (69, 74), (73, 82), (82, 87), (82, 86)]",846.4838676452637
9,252632.5870589872,"[(0, 68), (0, 30), (1, 74), (1, 64), (1, 40), (2, 8), (2, 66), (2, 20), (3, 11), (3, 82), (4, 53), (4, 49), (5, 21), (5, 36), (5, 18), (6, 37), (7, 10), (8, 19), (9, 79), (9, 48), (10, 56), (10, 89), (11, 85), (12, 43), (12, 51), (12, 14), (13, 14), (15, 27), (15, 35), (15, 69), (16, 60), (17, 78), (19, 48), (20, 26), (20, 36), (21, 30), (22, 79), (22, 77), (23, 41), (23, 80), (23, 38), (24, 64), (24, 62), (25, 52), (26, 81), (27, 41), (28, 89), (29, 43), (31, 58), (31, 88), (31, 63), (32, 33), (32, 76), (34, 50), (34, 61), (35, 82), (36, 83), (37, 60), (37, 71), (38, 44), (38, 74), (39, 83), (41, 51), (42, 48), (43, 78), (44, 86), (45, 80), (46, 62), (46, 72), (47, 50), (47, 67), (49, 75), (49, 65), (51, 70), (52, 82), (53, 83), (53, 70), (54, 86), (55, 65), (56, 57), (57, 65), (58, 74), (59, 78), (61, 66), (64, 71), (68, 87), (70, 76), (72, 84), (73, 75)]",770.4819068908691
10,241733.2082790137,"[(0, 45), (0, 14), (0, 13), (1, 43), (1, 79), (1, 50), (2, 37), (2, 30), (3, 60), (3, 68), (4, 85), (5, 19), (5, 65), (6, 14), (7, 75), (8, 50), (9, 60), (10, 20), (10, 84), (10, 12), (11, 24), (11, 56), (11, 34), (12, 78), (12, 48), (13, 77), (13, 63), (15, 49), (15, 88), (16, 32), (16, 87), (17, 53), (17, 73), (18, 77), (18, 83), (19, 76), (19, 47), (20, 24), (21, 80), (22, 66), (23, 52), (23, 85), (23, 35), (25, 54), (25, 88), (25, 70), (26, 42), (27, 37), (27, 31), (27, 44), (28, 34), (29, 53), (29, 38), (31, 45), (31, 39), (33, 66), (36, 40), (36, 64), (36, 62), (37, 49), (38, 61), (41, 45), (42, 64), (42, 58), (43, 51), (43, 67), (44, 66), (46, 81), (46, 59), (50, 72), (52, 81), (52, 80), (53, 77), (55, 89), (55, 59), (56, 59), (57, 72), (57, 60), (58, 71), (58, 80), (63, 68), (64, 79), (68, 82), (69, 89), (72, 74), (73, 86), (75, 88), (75, 76), (84, 87)]",709.9965670108795
