STT,Best Cost,Best Solution,Best Tree,Time
1,"[4, 7, 6, 5, 3, 3]",13307.969411277416,"[(0, 4), (1, 7), (2, 6), (3, 5), (3, 6), (3, 7), (4, 5)]",0.506666898727417
2,"[1, 0, 5, 3, 3, 1]",12826.527436585984,"[(0, 4), (0, 5), (1, 2), (1, 3), (1, 7), (3, 5), (3, 6)]",0.5146999359130859
3,"[1, 3, 0, 4, 5, 1]",15303.323284178085,"[(0, 3), (0, 4), (1, 2), (1, 5), (1, 7), (3, 6), (4, 5)]",0.5266201496124268
4,"[1, 0, 0, 3, 3, 1]",13973.761755958394,"[(0, 4), (0, 5), (0, 3), (1, 2), (1, 3), (1, 7), (3, 6)]",0.5701959133148193
5,"[6, 4, 0, 7, 2, 1]",12802.593003563463,"[(0, 4), (0, 7), (1, 2), (1, 7), (2, 6), (3, 6), (4, 5)]",0.5686752796173096
6,"[4, 0, 1, 2, 3, 2]",14552.795521164127,"[(0, 4), (0, 1), (1, 2), (2, 3), (2, 7), (3, 6), (4, 5)]",0.5698428153991699
7,"[7, 0, 5, 3, 3, 2]",12851.879734184746,"[(0, 4), (0, 5), (1, 7), (2, 3), (2, 7), (3, 5), (3, 6)]",0.5416402816772461
8,"[4, 3, 5, 1, 3, 1]",14325.549389130449,"[(0, 4), (1, 5), (1, 3), (1, 7), (2, 3), (3, 6), (4, 5)]",0.5249314308166504
9,"[4, 1, 7, 5, 7, 3]",12915.334707248623,"[(0, 4), (1, 2), (1, 7), (3, 6), (3, 7), (4, 5), (5, 7)]",0.48156142234802246
10,"[4, 1, 5, 7, 3, 1]",13111.128748435778,"[(0, 4), (1, 2), (1, 3), (1, 7), (3, 6), (4, 5), (5, 7)]",0.504615306854248
