STT,Best Cost,Best Solution,Best Tree,Time
1,"[6, 0, 4, 2, 3, 2]",14443.100386260776,"[(0, 5), (0, 4), (1, 6), (2, 4), (2, 3), (2, 7), (3, 6)]",0.5696959495544434
2,"[7, 6, 4, 6, 4, 7]",14964.933349508014,"[(0, 7), (1, 6), (2, 4), (3, 6), (4, 5), (4, 7), (6, 7)]",0.5648400783538818
3,"[4, 4, 7, 3, 1, 2]",15155.803625154676,"[(0, 4), (1, 3), (1, 2), (2, 7), (3, 6), (4, 5), (4, 7)]",0.46173596382141113
4,"[5, 6, 6, 2, 5, 4]",15419.464051250907,"[(0, 5), (1, 6), (2, 6), (2, 5), (3, 6), (4, 5), (4, 7)]",0.53969407081604
5,"[6, 7, 6, 4, 0, 4]",13033.181120142552,"[(0, 6), (0, 4), (1, 6), (2, 7), (3, 6), (4, 5), (4, 7)]",0.5277013778686523
6,"[4, 6, 4, 7, 3, 2]",13182.61299635977,"[(0, 4), (1, 6), (2, 3), (2, 7), (3, 6), (4, 5), (4, 7)]",0.5207221508026123
7,"[5, 6, 6, 4, 7, 2]",13161.759716607103,"[(0, 5), (1, 6), (2, 6), (2, 7), (3, 6), (4, 5), (4, 7)]",0.5077085494995117
8,"[4, 6, 6, 5, 2, 7]",14538.250292361783,"[(0, 4), (1, 6), (2, 5), (2, 7), (3, 6), (4, 5), (6, 7)]",0.5376734733581543
9,"[3, 4, 3, 0, 4, 2]",13839.480654109637,"[(0, 3), (0, 4), (1, 3), (2, 4), (2, 7), (3, 6), (4, 5)]",0.49773454666137695
10,"[6, 4, 6, 5, 0, 0]",15603.95143528974,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 4), (3, 6), (4, 5)]",0.48771095275878906
