STT,Best Cost,Best Solution,Best Tree,Time
1,"[13, 2, 35, 0, 11, 34, 3, 36, 20, 1, 4, 17, 18, 6, 47, 55, 56, 50, 7, 24, 23, 36, 13, 28, 15, 23, 1, 48, 30, 56, 8, 10, 46, 19, 7, 55, 12, 35, 38, 51, 4, 5, 59, 26, 37, 40, 47, 5, 41, 43, 25, 52, 16, 9, 45, 50, 49, 39]",179864.42273413518,"[(0, 22), (0, 11), (1, 20), (1, 23), (1, 48), (2, 21), (2, 35), (3, 27), (3, 36), (4, 31), (4, 51), (4, 5), (5, 47), (5, 41), (6, 18), (6, 47), (7, 44), (7, 19), (7, 55), (8, 56), (8, 10), (9, 16), (9, 45), (10, 46), (11, 34), (12, 55), (12, 35), (13, 14), (13, 36), (13, 28), (15, 28), (15, 23), (16, 52), (17, 32), (17, 18), (19, 46), (20, 29), (23, 24), (24, 53), (25, 43), (25, 52), (26, 58), (26, 37), (30, 48), (30, 56), (33, 55), (34, 56), (35, 38), (36, 54), (37, 40), (38, 51), (39, 49), (39, 59), (40, 47), (41, 43), (42, 50), (45, 50), (49, 50), (57, 59)]",1.8715736865997314
2,"[4, 5, 43, 30, 36, 39, 17, 49, 15, 1, 3, 7, 22, 8, 59, 24, 22, 11, 0, 10, 33, 41, 32, 54, 1, 13, 57, 18, 24, 15, 27, 52, 25, 30, 35, 21, 9, 25, 19, 41, 13, 14, 33, 29, 29, 50, 44, 45, 53, 9, 2, 37, 12, 2, 38, 35, 54, 3]",166958.8042344647,"[(0, 11), (0, 10), (1, 31), (1, 47), (1, 13), (2, 9), (2, 12), (2, 38), (3, 34), (3, 54), (3, 59), (4, 6), (4, 5), (5, 43), (7, 36), (7, 22), (8, 39), (8, 59), (9, 21), (9, 53), (10, 33), (11, 22), (12, 37), (13, 41), (13, 14), (14, 33), (15, 28), (15, 24), (15, 27), (16, 30), (17, 26), (17, 49), (18, 49), (18, 24), (19, 25), (19, 41), (20, 36), (21, 55), (22, 42), (23, 39), (24, 40), (25, 51), (25, 56), (27, 52), (29, 33), (29, 57), (29, 50), (30, 52), (30, 35), (32, 46), (32, 54), (35, 38), (35, 54), (37, 58), (41, 43), (44, 50), (44, 45), (45, 53), (48, 57)]",1.7192301750183105
3,"[55, 37, 5, 9, 8, 27, 14, 11, 56, 21, 0, 57, 35, 50, 49, 46, 11, 16, 38, 1, 4, 17, 18, 23, 42, 10, 6, 27, 24, 9, 2, 7, 3, 51, 15, 50, 30, 4, 25, 22, 53, 38, 54, 31, 1, 41, 8, 7, 2, 12, 36, 46, 26, 15, 43, 16, 52, 54]",163757.4623541828,"[(0, 21), (0, 57), (1, 47), (1, 31), (1, 41), (2, 9), (2, 7), (2, 12), (3, 56), (3, 51), (4, 48), (4, 30), (4, 25), (5, 20), (5, 9), (6, 10), (6, 27), (7, 55), (7, 8), (8, 28), (8, 41), (9, 24), (10, 42), (11, 14), (11, 44), (11, 16), (12, 36), (13, 55), (14, 32), (15, 51), (15, 26), (15, 43), (16, 43), (16, 52), (17, 49), (17, 18), (18, 23), (19, 37), (21, 34), (22, 25), (22, 53), (23, 42), (24, 27), (26, 46), (27, 29), (30, 50), (31, 58), (33, 56), (35, 37), (35, 50), (36, 46), (38, 45), (38, 53), (38, 54), (39, 49), (40, 46), (50, 57), (52, 54), (54, 59)]",4.486734628677368
4,"[11, 3, 2, 22, 27, 4, 15, 8, 29, 6, 20, 25, 12, 34, 8, 4, 9, 11, 0, 16, 14, 45, 51, 21, 53, 40, 16, 19, 15, 6, 47, 17, 51, 23, 56, 26, 18, 40, 19, 43, 1, 33, 49, 38, 50, 2, 45, 55, 46, 52, 33, 54, 56, 44, 22, 12, 5, 17]",171454.69877063876,"[(0, 11), (0, 16), (1, 43), (1, 33), (2, 3), (2, 50), (2, 45), (3, 10), (4, 27), (4, 8), (4, 9), (5, 12), (5, 17), (6, 29), (6, 15), (6, 47), (7, 11), (8, 30), (8, 34), (9, 11), (12, 25), (12, 22), (13, 22), (14, 36), (14, 45), (15, 28), (15, 48), (16, 42), (16, 19), (17, 47), (17, 59), (18, 26), (18, 40), (19, 40), (19, 43), (20, 32), (20, 25), (21, 39), (21, 53), (22, 44), (23, 51), (23, 56), (24, 27), (26, 57), (29, 31), (33, 52), (33, 54), (34, 35), (37, 51), (38, 49), (38, 50), (40, 41), (44, 56), (45, 55), (46, 55), (46, 52), (49, 58), (51, 53), (54, 56)]",4.997662544250488
5,"[0, 2, 9, 56, 19, 6, 5, 6, 27, 1, 24, 32, 0, 21, 16, 39, 4, 19, 40, 7, 20, 14, 10, 1, 23, 17, 18, 43, 46, 50, 8, 10, 8, 17, 26, 12, 49, 56, 45, 25, 34, 4, 38, 37, 12, 46, 39, 43, 29, 50, 32, 25, 22, 13, 35, 40, 37, 44]",157797.45700554294,"[(0, 3), (0, 33), (0, 21), (1, 27), (1, 47), (1, 23), (2, 11), (2, 9), (4, 36), (4, 34), (4, 38), (5, 30), (5, 6), (6, 28), (6, 27), (7, 42), (7, 20), (8, 53), (8, 10), (8, 17), (9, 56), (10, 14), (10, 54), (12, 26), (12, 58), (12, 46), (13, 22), (13, 35), (14, 20), (15, 19), (16, 21), (16, 39), (17, 23), (17, 26), (18, 48), (18, 43), (19, 41), (19, 40), (22, 25), (24, 31), (24, 32), (25, 45), (25, 32), (29, 43), (29, 50), (32, 50), (34, 57), (35, 40), (37, 38), (37, 40), (37, 44), (39, 46), (39, 43), (44, 59), (45, 56), (46, 51), (49, 55), (49, 56), (50, 52)]",1.7295751571655273
6,"[9, 2, 54, 6, 5, 59, 12, 35, 6, 10, 1, 51, 14, 50, 44, 26, 19, 53, 57, 18, 0, 34, 4, 52, 30, 56, 28, 2, 42, 4, 21, 58, 7, 11, 24, 34, 15, 49, 14, 22, 39, 7, 36, 16, 20, 49, 28, 21, 16, 5, 35, 24, 20, 26, 8, 39, 46, 10]",178493.17202192167,"[(0, 18), (0, 34), (1, 31), (1, 51), (2, 9), (2, 50), (2, 42), (3, 9), (4, 44), (4, 42), (4, 21), (5, 23), (5, 16), (5, 35), (6, 17), (6, 29), (6, 10), (7, 52), (7, 56), (7, 36), (8, 26), (8, 39), (10, 46), (10, 59), (11, 53), (11, 24), (12, 27), (12, 35), (13, 54), (14, 32), (14, 55), (14, 22), (15, 34), (15, 49), (16, 36), (16, 21), (18, 43), (19, 40), (19, 53), (20, 57), (20, 24), (20, 26), (21, 28), (22, 39), (24, 35), (25, 59), (26, 38), (28, 48), (28, 49), (30, 47), (30, 56), (33, 50), (34, 54), (37, 44), (39, 46), (41, 57), (45, 52), (49, 58), (51, 58)]",1.7861979007720947
7,"[40, 2, 20, 15, 6, 18, 47, 0, 10, 14, 7, 37, 23, 11, 21, 51, 13, 1, 27, 38, 5, 24, 29, 8, 36, 43, 17, 17, 26, 16, 7, 53, 41, 5, 33, 20, 34, 11, 3, 45, 13, 35, 38, 0, 9, 21, 57, 4, 25, 22, 33, 16, 8, 12, 19, 4, 12, 19]",166111.68394840244,"[(0, 32), (0, 38), (0, 9), (1, 47), (1, 27), (2, 30), (2, 20), (3, 11), (3, 45), (4, 55), (4, 58), (4, 12), (5, 48), (5, 41), (5, 33), (6, 15), (6, 18), (7, 14), (7, 52), (7, 53), (8, 29), (8, 16), (8, 12), (9, 21), (10, 39), (10, 14), (11, 23), (11, 34), (12, 19), (13, 46), (13, 45), (13, 35), (15, 31), (16, 26), (16, 33), (17, 43), (17, 51), (17, 26), (18, 47), (19, 57), (19, 59), (20, 54), (20, 34), (21, 42), (21, 57), (22, 25), (22, 33), (23, 37), (24, 49), (24, 29), (25, 56), (27, 38), (28, 40), (35, 38), (36, 50), (36, 43), (37, 40), (41, 53), (44, 51)]",1.827073335647583
8,"[25, 7, 41, 1, 26, 45, 3, 30, 7, 8, 5, 45, 27, 41, 54, 0, 5, 40, 57, 12, 35, 46, 23, 29, 24, 9, 53, 56, 21, 24, 19, 38, 26, 48, 50, 13, 52, 56, 10, 38, 4, 16, 16, 52, 33, 43, 35, 34, 33, 50, 11, 11, 4, 28, 15, 28, 6, 49]",158745.97658215085,"[(0, 36), (0, 5), (1, 18), (1, 26), (2, 25), (3, 22), (3, 30), (4, 38), (4, 11), (4, 28), (5, 8), (5, 40), (6, 28), (6, 49), (7, 14), (7, 25), (7, 8), (9, 42), (9, 53), (10, 53), (10, 38), (11, 50), (11, 57), (12, 39), (12, 35), (13, 48), (13, 52), (15, 58), (15, 28), (16, 54), (16, 55), (16, 52), (17, 41), (19, 24), (19, 38), (20, 45), (21, 45), (21, 24), (23, 41), (23, 29), (24, 29), (26, 46), (26, 48), (27, 31), (27, 41), (30, 45), (32, 54), (33, 52), (33, 34), (33, 50), (34, 35), (35, 43), (37, 57), (40, 46), (43, 56), (44, 56), (47, 50), (49, 59), (51, 56)]",2.2850873470306396
9,"[57, 19, 8, 14, 3, 54, 5, 43, 6, 12, 57, 34, 47, 16, 7, 11, 0, 9, 32, 47, 46, 2, 1, 18, 23, 17, 10, 51, 48, 15, 31, 31, 4, 33, 53, 0, 9, 58, 2, 20, 22, 22, 36, 36, 13, 7, 55, 40, 39, 58, 11, 10, 45, 59, 4, 33, 25, 17]",157944.0295992159,"[(0, 35), (0, 52), (0, 9), (1, 43), (1, 18), (2, 42), (2, 53), (2, 20), (3, 14), (3, 54), (4, 31), (4, 58), (4, 33), (5, 26), (5, 43), (6, 27), (6, 12), (7, 16), (7, 13), (7, 55), (8, 19), (8, 14), (9, 37), (9, 58), (10, 44), (10, 11), (10, 45), (11, 34), (11, 57), (12, 57), (13, 36), (15, 48), (15, 31), (16, 30), (17, 23), (17, 25), (17, 59), (18, 23), (19, 24), (20, 22), (21, 57), (22, 54), (22, 36), (25, 33), (28, 34), (29, 47), (31, 49), (32, 38), (32, 47), (33, 50), (36, 56), (39, 40), (39, 58), (40, 55), (41, 46), (45, 59), (46, 51), (47, 48), (51, 53)]",2.773453712463379
10,"[1, 47, 0, 5, 38, 31, 39, 43, 24, 12, 14, 54, 41, 4, 34, 2, 8, 38, 9, 46, 39, 27, 43, 48, 25, 32, 23, 41, 21, 32, 56, 33, 3, 16, 17, 31, 55, 22, 2, 5, 8, 42, 53, 19, 59, 52, 36, 57, 17, 10, 44, 34, 3, 49, 49, 58, 18, 13]",177466.02222635984,"[(0, 7), (0, 5), (1, 6), (1, 47), (2, 35), (2, 22), (2, 5), (3, 33), (3, 34), (3, 49), (4, 30), (4, 34), (5, 8), (8, 37), (8, 42), (9, 38), (9, 46), (10, 17), (10, 44), (11, 38), (12, 24), (12, 14), (13, 18), (13, 59), (14, 54), (15, 31), (16, 50), (16, 17), (17, 56), (18, 58), (19, 53), (19, 59), (20, 39), (21, 41), (21, 32), (22, 54), (23, 47), (23, 41), (24, 28), (25, 46), (25, 32), (26, 43), (27, 39), (27, 43), (29, 41), (31, 51), (31, 55), (32, 56), (33, 48), (34, 44), (36, 52), (36, 57), (38, 40), (39, 45), (42, 53), (43, 48), (49, 57), (49, 58), (52, 55)]",1.7586848735809326
