STT,Best Cost,Best Solution,Best Tree,Time
1,"[1, 6, 3, 27, 55, 57, 4, 20, 11, 42, 44, 5, 42, 33, 7, 10, 2, 40, 46, 0, 17, 6, 53, 20, 8, 37, 38, 59, 45, 53, 47, 15, 46, 3, 57, 25, 24, 27, 26, 39, 52, 36, 23, 55, 31, 58, 36, 17, 11, 22, 54, 10, 40, 44, 29, 32, 18, 24]",160544.33814042713,"[(0, 43), (0, 17), (1, 9), (1, 6), (2, 41), (2, 40), (3, 12), (3, 46), (3, 57), (4, 19), (4, 20), (5, 34), (5, 42), (6, 48), (6, 53), (7, 33), (7, 10), (8, 20), (8, 37), (10, 54), (10, 40), (11, 21), (11, 17), (11, 22), (13, 27), (14, 55), (15, 47), (15, 46), (16, 57), (17, 36), (18, 32), (18, 24), (20, 49), (22, 54), (23, 57), (23, 55), (24, 25), (24, 59), (25, 53), (26, 27), (26, 39), (27, 56), (28, 42), (29, 44), (29, 32), (30, 44), (31, 55), (31, 58), (33, 35), (36, 52), (36, 58), (37, 38), (38, 59), (39, 52), (40, 44), (42, 46), (45, 50), (45, 53), (47, 51)]",1.7577228546142578
2,"[28, 1, 9, 7, 17, 58, 14, 20, 27, 4, 0, 9, 48, 35, 3, 13, 8, 3, 57, 39, 11, 12, 16, 30, 4, 19, 21, 10, 17, 33, 37, 47, 12, 18, 43, 28, 53, 45, 21, 52, 11, 47, 15, 46, 36, 5, 40, 15, 36, 32, 2, 45, 6, 10, 52, 41, 48, 13]",158618.4775715095,"[(0, 29), (0, 9), (1, 23), (1, 9), (2, 32), (2, 45), (3, 34), (3, 8), (3, 57), (4, 27), (4, 30), (4, 19), (5, 58), (5, 40), (6, 45), (6, 10), (7, 24), (7, 17), (8, 38), (9, 48), (10, 50), (10, 52), (11, 39), (11, 56), (11, 47), (12, 44), (12, 54), (12, 18), (13, 35), (13, 48), (13, 59), (14, 26), (14, 20), (15, 47), (15, 40), (15, 36), (16, 49), (16, 30), (17, 51), (17, 33), (18, 43), (19, 21), (20, 27), (21, 55), (21, 52), (22, 28), (25, 58), (28, 43), (28, 53), (31, 35), (32, 36), (33, 37), (36, 46), (37, 47), (39, 42), (41, 52), (41, 48), (45, 53), (46, 57)]",1.897822380065918
3,"[14, 0, 11, 4, 13, 19, 2, 5, 17, 20, 47, 7, 26, 27, 3, 25, 16, 30, 50, 54, 17, 12, 29, 23, 9, 33, 0, 1, 28, 16, 45, 59, 22, 39, 36, 42, 24, 6, 15, 18, 10, 1, 15, 45, 21, 11, 46, 40, 52, 8, 55, 50, 28, 40, 9, 38, 59, 49]",164392.84923092878,"[(0, 14), (0, 33), (0, 1), (1, 10), (1, 15), (2, 19), (2, 5), (3, 27), (3, 25), (4, 34), (4, 13), (5, 17), (6, 24), (6, 15), (7, 37), (7, 26), (8, 52), (8, 55), (9, 23), (9, 40), (9, 38), (10, 18), (11, 32), (11, 21), (11, 46), (12, 17), (12, 29), (13, 19), (14, 31), (15, 45), (16, 25), (16, 51), (16, 45), (17, 44), (18, 56), (20, 35), (20, 47), (21, 45), (22, 54), (22, 39), (23, 29), (24, 42), (26, 27), (28, 48), (28, 50), (28, 40), (30, 41), (30, 50), (33, 47), (36, 39), (36, 42), (38, 59), (40, 46), (43, 54), (49, 58), (49, 59), (50, 55), (52, 57), (53, 59)]",1.7799949645996094
4,"[1, 9, 51, 56, 30, 2, 4, 42, 30, 3, 8, 7, 31, 34, 13, 51, 46, 10, 21, 20, 3, 0, 41, 7, 50, 24, 2, 4, 49, 11, 15, 53, 50, 23, 38, 16, 44, 36, 44, 59, 12, 45, 48, 38, 26, 6, 5, 16, 29, 36, 17, 24, 48, 54, 5, 52, 18, 0]",162121.3573271322,"[(0, 3), (0, 18), (0, 59), (1, 14), (1, 9), (2, 25), (2, 43), (2, 4), (3, 30), (3, 20), (4, 27), (4, 49), (5, 6), (5, 54), (5, 52), (6, 26), (7, 8), (7, 41), (7, 50), (8, 33), (9, 51), (10, 39), (10, 21), (11, 46), (11, 15), (12, 56), (12, 45), (13, 34), (13, 51), (15, 53), (16, 50), (16, 58), (16, 29), (17, 36), (17, 24), (18, 52), (19, 56), (20, 21), (22, 30), (23, 49), (23, 38), (24, 42), (24, 48), (26, 38), (28, 42), (29, 36), (30, 32), (31, 35), (31, 34), (36, 53), (37, 46), (38, 57), (40, 41), (44, 51), (44, 55), (44, 59), (45, 48), (47, 50), (48, 54)]",1.7575387954711914
5,"[1, 23, 34, 5, 22, 8, 55, 54, 37, 2, 50, 42, 44, 12, 1, 40, 21, 41, 42, 30, 43, 46, 15, 25, 41, 32, 27, 38, 13, 16, 51, 52, 15, 32, 33, 50, 4, 12, 17, 35, 57, 35, 22, 25, 23, 33, 17, 56, 52, 54, 40, 9, 6, 47, 29, 4, 51, 11]",175806.96279984026,"[(0, 1), (1, 31), (1, 40), (2, 20), (2, 50), (3, 23), (4, 50), (4, 29), (4, 51), (5, 10), (5, 22), (6, 9), (6, 47), (7, 34), (8, 14), (8, 55), (9, 40), (11, 51), (11, 59), (12, 28), (12, 53), (12, 17), (13, 38), (13, 16), (15, 42), (15, 48), (15, 32), (16, 51), (17, 33), (17, 56), (18, 54), (19, 37), (21, 34), (21, 41), (22, 35), (22, 25), (23, 25), (23, 33), (24, 42), (25, 43), (26, 44), (27, 45), (27, 38), (29, 47), (30, 37), (30, 43), (32, 41), (32, 33), (35, 55), (35, 57), (36, 42), (39, 46), (40, 54), (41, 44), (46, 52), (49, 50), (52, 56), (52, 54), (57, 58)]",2.968125581741333
6,"[13, 26, 4, 3, 55, 28, 5, 16, 50, 33, 0, 22, 12, 53, 23, 14, 13, 20, 7, 52, 18, 29, 19, 9, 7, 57, 28, 15, 59, 5, 41, 43, 11, 0, 32, 17, 26, 21, 39, 24, 30, 43, 25, 59, 8, 6, 57, 1, 2, 11, 51, 48, 10, 40, 41, 2, 54, 6]",165345.83508425282,"[(0, 33), (0, 53), (0, 32), (1, 57), (1, 2), (2, 41), (2, 54), (3, 4), (3, 55), (4, 34), (5, 36), (5, 49), (5, 41), (6, 8), (6, 54), (6, 59), (7, 20), (7, 9), (7, 57), (8, 55), (9, 19), (10, 48), (10, 40), (11, 52), (11, 58), (11, 51), (12, 22), (12, 53), (13, 27), (13, 14), (13, 20), (14, 23), (15, 28), (15, 59), (16, 37), (16, 50), (17, 32), (17, 26), (18, 46), (18, 29), (19, 29), (21, 26), (21, 39), (22, 42), (23, 44), (24, 39), (24, 30), (25, 43), (25, 59), (26, 31), (28, 35), (28, 47), (30, 43), (33, 38), (40, 41), (43, 50), (45, 52), (48, 51), (56, 57)]",2.012349843978882
7,"[6, 27, 3, 6, 20, 15, 7, 42, 7, 12, 10, 25, 0, 14, 15, 36, 28, 37, 2, 10, 40, 48, 39, 9, 17, 59, 22, 45, 18, 16, 8, 47, 35, 50, 23, 4, 49, 17, 37, 30, 22, 1, 50, 45, 33, 2, 5, 40, 32, 55, 56, 3, 43, 28, 21, 13, 44, 1]",180792.83270051176,"[(0, 25), (0, 14), (1, 22), (1, 44), (1, 59), (2, 41), (2, 33), (2, 5), (3, 24), (3, 56), (3, 43), (4, 23), (4, 49), (5, 40), (6, 11), (6, 26), (6, 20), (7, 27), (7, 31), (7, 12), (8, 16), (8, 47), (9, 39), (9, 17), (10, 12), (10, 42), (10, 40), (13, 21), (13, 44), (14, 15), (15, 20), (15, 36), (16, 18), (17, 49), (17, 37), (18, 54), (19, 27), (21, 28), (22, 52), (22, 30), (23, 57), (25, 34), (28, 36), (28, 43), (29, 42), (30, 37), (32, 40), (32, 55), (33, 45), (35, 47), (35, 50), (37, 38), (39, 48), (45, 53), (45, 50), (46, 48), (50, 58), (51, 59), (55, 56)]",1.8879761695861816
8,"[1, 33, 13, 27, 21, 43, 8, 20, 55, 2, 30, 58, 5, 58, 54, 15, 3, 57, 43, 45, 52, 52, 56, 18, 22, 40, 18, 6, 12, 46, 11, 19, 7, 59, 14, 0, 16, 7, 17, 14, 10, 45, 46, 30, 50, 4, 29, 25, 51, 44, 8, 15, 33, 53, 5, 4, 38, 0]",162762.79308228585,"[(0, 56), (0, 38), (0, 59), (1, 9), (1, 33), (2, 28), (2, 30), (3, 37), (3, 57), (4, 50), (4, 5), (4, 38), (5, 32), (5, 53), (6, 18), (6, 12), (7, 19), (7, 16), (7, 17), (8, 26), (8, 44), (8, 15), (10, 14), (10, 45), (11, 52), (11, 19), (12, 46), (13, 23), (13, 27), (14, 55), (14, 17), (15, 36), (15, 33), (16, 57), (18, 48), (18, 40), (20, 27), (20, 55), (21, 24), (21, 43), (22, 49), (22, 40), (25, 29), (25, 51), (29, 58), (30, 46), (30, 50), (31, 58), (33, 53), (34, 58), (35, 54), (39, 43), (41, 45), (42, 52), (43, 52), (44, 51), (45, 46), (47, 56), (54, 59)]",1.7199718952178955
9,"[4, 39, 49, 17, 5, 9, 48, 52, 10, 11, 18, 12, 8, 54, 44, 12, 53, 6, 13, 7, 46, 22, 30, 15, 1, 16, 28, 3, 45, 57, 0, 13, 57, 16, 28, 21, 42, 34, 2, 43, 29, 32, 14, 59, 27, 3, 0, 14, 38, 41, 54, 30, 2, 29, 17, 38, 1, 55]",163287.47933767212,"[(0, 49), (0, 3), (0, 14), (1, 15), (1, 38), (1, 55), (2, 34), (2, 30), (2, 29), (3, 47), (3, 27), (4, 19), (4, 39), (5, 24), (5, 9), (6, 36), (6, 13), (7, 37), (7, 46), (8, 31), (8, 54), (9, 48), (10, 26), (10, 11), (11, 18), (12, 18), (12, 35), (12, 53), (13, 50), (13, 57), (14, 32), (14, 38), (15, 40), (16, 44), (16, 51), (16, 28), (17, 23), (17, 29), (17, 38), (20, 49), (21, 28), (21, 42), (22, 39), (22, 30), (25, 52), (27, 57), (28, 46), (29, 43), (30, 54), (32, 53), (33, 44), (34, 42), (41, 58), (41, 54), (43, 52), (45, 48), (45, 57), (55, 59), (56, 59)]",1.7946686744689941
10,"[4, 21, 22, 51, 25, 26, 0, 1, 57, 39, 36, 20, 53, 15, 38, 18, 10, 24, 12, 14, 34, 3, 8, 13, 16, 23, 9, 6, 17, 20, 19, 7, 29, 2, 36, 5, 52, 22, 6, 46, 32, 39, 59, 7, 11, 42, 52, 30, 4, 58, 46, 0, 37, 23, 50, 2, 30, 45]",163243.07210274055,"[(0, 26), (0, 46), (0, 37), (1, 35), (1, 57), (2, 29), (2, 50), (2, 30), (3, 34), (3, 8), (4, 27), (4, 57), (4, 58), (5, 36), (5, 52), (6, 9), (6, 22), (6, 46), (7, 19), (7, 56), (7, 11), (8, 13), (9, 48), (10, 18), (10, 24), (11, 42), (12, 24), (12, 14), (13, 16), (14, 34), (15, 47), (15, 38), (16, 23), (17, 49), (17, 20), (18, 38), (19, 20), (20, 43), (21, 28), (21, 22), (22, 54), (23, 37), (23, 50), (25, 33), (25, 26), (29, 51), (30, 52), (30, 45), (31, 51), (32, 55), (32, 39), (36, 41), (36, 53), (39, 40), (39, 59), (42, 52), (44, 53), (45, 59), (46, 58)]",1.8772778511047363
