STT,Best Cost,Best Solution,Best Tree,Time
1,"[4, 17, 64, 62, 1, 73, 32, 3, 28, 12, 9, 48, 16, 10, 47, 4, 36, 20, 22, 61, 63, 57, 5, 23, 26, 14, 29, 30, 27, 6, 2, 31, 83, 39, 7, 65, 18, 70, 19, 73, 11, 28, 16, 8, 54, 39, 69, 46, 45, 53, 15, 86, 17, 76, 25, 33, 89, 65, 35, 84, 3, 12, 21, 24, 78, 21, 52, 0, 88, 75, 13, 56, 38, 52, 26, 78, 42, 44, 57, 55, 86, 33, 43, 29, 25, 64, 69, 41]",261149.4860268744,"[(0, 87), (0, 88), (1, 50), (1, 73), (2, 6), (2, 31), (3, 32), (3, 83), (3, 12), (4, 34), (4, 47), (4, 36), (5, 66), (5, 23), (6, 27), (7, 72), (7, 65), (8, 16), (8, 54), (9, 60), (9, 48), (10, 62), (10, 47), (11, 73), (11, 28), (12, 59), (12, 21), (13, 75), (13, 56), (14, 67), (14, 29), (15, 53), (15, 86), (16, 48), (16, 28), (17, 37), (17, 79), (17, 76), (18, 74), (18, 70), (19, 70), (19, 73), (20, 36), (20, 22), (21, 85), (21, 52), (22, 61), (23, 26), (24, 84), (24, 78), (25, 76), (25, 29), (25, 64), (26, 52), (26, 78), (27, 30), (28, 58), (29, 43), (30, 68), (31, 83), (32, 51), (33, 80), (33, 86), (33, 43), (35, 65), (35, 84), (38, 56), (38, 52), (39, 71), (39, 54), (39, 69), (40, 64), (41, 69), (41, 89), (42, 78), (42, 44), (44, 57), (45, 46), (45, 53), (46, 77), (49, 62), (55, 57), (55, 86), (57, 63), (61, 63), (64, 69), (65, 82), (75, 88), (81, 89)]",2.4725117683410645
2,"[6, 12, 0, 5, 1, 7, 2, 46, 72, 3, 12, 83, 31, 27, 14, 19, 53, 6, 20, 31, 4, 79, 70, 47, 1, 23, 38, 26, 69, 49, 21, 37, 66, 15, 82, 60, 17, 36, 76, 28, 77, 79, 10, 24, 63, 16, 67, 25, 19, 13, 63, 40, 8, 8, 86, 26, 72, 43, 73, 50, 66, 34, 59, 3, 18, 75, 48, 13, 64, 55, 11, 51, 18, 60, 48, 47, 45, 15, 75, 87, 42, 58, 23, 84, 25, 40, 33, 49]",255772.32890790032,"[(0, 29), (0, 5), (1, 5), (1, 56), (1, 23), (2, 7), (2, 46), (3, 35), (3, 59), (3, 18), (4, 31), (4, 79), (6, 9), (6, 52), (6, 20), (7, 30), (8, 81), (8, 82), (8, 86), (10, 77), (10, 24), (11, 55), (11, 51), (12, 22), (12, 39), (12, 83), (13, 19), (13, 88), (13, 64), (14, 27), (14, 19), (15, 68), (15, 45), (15, 75), (16, 78), (16, 67), (17, 71), (17, 36), (18, 51), (18, 60), (19, 79), (20, 31), (21, 65), (21, 37), (23, 58), (23, 84), (24, 63), (25, 67), (25, 84), (25, 40), (26, 38), (26, 83), (26, 72), (27, 44), (28, 74), (28, 77), (31, 41), (32, 72), (33, 40), (33, 49), (34, 66), (34, 59), (36, 76), (37, 66), (38, 57), (40, 63), (42, 87), (42, 58), (43, 72), (43, 73), (45, 47), (46, 53), (47, 54), (47, 48), (48, 86), (48, 60), (49, 62), (49, 89), (50, 73), (50, 66), (53, 70), (55, 64), (60, 70), (61, 69), (63, 80), (69, 82), (75, 85), (75, 87), (76, 79)]",2.7216126918792725
3,"[0, 3, 21, 8, 11, 55, 58, 5, 67, 87, 4, 10, 24, 79, 12, 18, 22, 72, 63, 9, 86, 88, 86, 55, 26, 20, 14, 19, 39, 49, 50, 12, 17, 6, 67, 15, 44, 88, 2, 68, 16, 41, 39, 71, 53, 20, 2, 68, 60, 46, 73, 52, 36, 23, 6, 34, 13, 1, 7, 49, 50, 13, 75, 43, 16, 83, 42, 44, 62, 69, 37, 25, 19, 15, 17, 78, 51, 0, 36, 80, 22, 65, 78, 53, 65, 46, 34, 51]",267621.7051198053,"[(0, 27), (0, 87), (0, 36), (1, 85), (1, 7), (2, 72), (2, 20), (2, 68), (3, 28), (3, 21), (4, 32), (4, 10), (5, 30), (5, 67), (6, 63), (6, 23), (6, 34), (7, 49), (8, 21), (8, 11), (9, 45), (9, 86), (10, 24), (11, 55), (12, 33), (12, 61), (12, 17), (13, 84), (13, 50), (13, 75), (14, 56), (14, 19), (15, 66), (15, 19), (15, 17), (16, 76), (16, 43), (16, 83), (17, 78), (18, 35), (18, 22), (19, 25), (20, 26), (20, 79), (22, 80), (22, 65), (23, 82), (24, 79), (25, 37), (26, 55), (29, 58), (31, 87), (34, 46), (34, 51), (36, 52), (36, 80), (37, 69), (38, 72), (39, 57), (39, 41), (39, 71), (40, 63), (41, 77), (42, 83), (42, 44), (43, 75), (44, 67), (44, 62), (46, 60), (46, 65), (47, 88), (48, 86), (49, 58), (49, 50), (50, 59), (51, 86), (51, 89), (52, 73), (53, 71), (53, 78), (53, 65), (54, 55), (60, 68), (62, 69), (64, 67), (68, 74), (70, 88), (73, 81), (78, 88)]",2.8036324977874756
4,"[13, 2, 59, 20, 46, 48, 23, 3, 9, 56, 8, 62, 40, 5, 0, 33, 14, 6, 17, 37, 25, 44, 88, 71, 11, 1, 27, 89, 80, 83, 31, 4, 18, 52, 82, 58, 26, 36, 74, 80, 18, 53, 26, 88, 48, 10, 21, 7, 28, 17, 15, 79, 4, 3, 62, 23, 45, 8, 13, 29, 11, 50, 44, 39, 74, 45, 49, 9, 10, 22, 38, 21, 61, 54, 75, 19, 73, 50, 67, 86, 15, 42, 19, 70, 33, 30, 72, 39]",242559.5753952465,"[(0, 5), (0, 33), (1, 63), (1, 27), (2, 16), (2, 59), (3, 35), (3, 4), (3, 62), (4, 31), (4, 79), (5, 40), (6, 14), (6, 17), (7, 82), (7, 28), (8, 46), (8, 84), (8, 13), (9, 41), (9, 49), (9, 10), (10, 48), (10, 22), (11, 60), (11, 29), (11, 50), (12, 13), (13, 29), (14, 55), (15, 17), (15, 86), (15, 42), (17, 28), (18, 68), (18, 78), (18, 53), (19, 75), (19, 42), (19, 70), (20, 24), (20, 46), (21, 81), (21, 38), (21, 61), (22, 38), (23, 34), (23, 62), (23, 45), (25, 37), (25, 44), (26, 58), (26, 53), (26, 88), (27, 89), (30, 33), (30, 72), (31, 66), (32, 48), (33, 70), (36, 76), (36, 74), (37, 56), (39, 44), (39, 72), (39, 89), (40, 51), (43, 56), (44, 85), (45, 74), (45, 49), (47, 62), (48, 80), (50, 73), (50, 67), (52, 69), (52, 82), (54, 61), (54, 75), (57, 88), (58, 71), (59, 71), (64, 80), (65, 83), (67, 86), (73, 88), (74, 87), (77, 80), (79, 83)]",2.704608917236328
5,"[11, 4, 3, 8, 23, 2, 28, 53, 23, 18, 27, 14, 17, 73, 72, 15, 17, 9, 6, 58, 3, 77, 12, 87, 18, 22, 0, 14, 33, 87, 71, 21, 13, 2, 19, 7, 41, 20, 54, 40, 62, 10, 30, 11, 37, 43, 88, 60, 7, 13, 82, 21, 22, 39, 61, 89, 24, 52, 30, 5, 78, 16, 72, 40, 88, 6, 10, 76, 63, 63, 68, 20, 58, 5, 43, 89, 83, 74, 62, 9, 84, 1, 0, 70, 60, 66, 38, 19]",267225.8676389644,"[(0, 51), (0, 1), (0, 70), (1, 84), (2, 31), (2, 59), (2, 19), (3, 4), (3, 48), (3, 77), (4, 26), (5, 30), (5, 58), (5, 43), (6, 46), (6, 86), (6, 10), (7, 64), (7, 80), (7, 13), (8, 29), (8, 23), (9, 17), (9, 62), (9, 84), (10, 71), (10, 76), (11, 25), (11, 75), (11, 37), (12, 49), (12, 87), (13, 57), (13, 82), (14, 27), (14, 53), (14, 33), (15, 45), (15, 17), (16, 78), (16, 72), (17, 36), (18, 23), (18, 50), (18, 22), (19, 38), (19, 89), (20, 41), (20, 68), (20, 58), (21, 56), (21, 81), (21, 22), (22, 39), (23, 34), (24, 82), (24, 52), (27, 35), (28, 32), (28, 53), (30, 73), (30, 52), (33, 87), (37, 43), (38, 66), (39, 61), (40, 54), (40, 72), (40, 88), (41, 65), (42, 73), (43, 89), (44, 72), (47, 58), (54, 67), (55, 71), (60, 79), (60, 70), (60, 66), (61, 89), (62, 69), (62, 74), (63, 76), (63, 87), (63, 68), (74, 83), (77, 88), (78, 85), (83, 88)]",2.6345932483673096
6,"[2, 11, 53, 17, 1, 0, 57, 4, 3, 20, 9, 18, 6, 13, 49, 24, 26, 55, 7, 27, 22, 4, 82, 10, 15, 28, 58, 50, 29, 85, 34, 10, 55, 31, 23, 66, 85, 47, 32, 37, 86, 12, 83, 45, 74, 64, 40, 31, 77, 78, 21, 68, 8, 76, 16, 7, 88, 30, 38, 36, 9, 82, 39, 43, 44, 61, 5, 88, 63, 25, 67, 80, 81, 1, 35, 58, 66, 14, 37, 42, 19, 86, 33, 14, 19, 11, 75, 43]",255831.96112426204,"[(0, 51), (0, 57), (1, 17), (1, 81), (1, 35), (2, 41), (2, 11), (3, 53), (3, 20), (4, 52), (4, 22), (4, 82), (5, 61), (5, 88), (6, 18), (6, 13), (7, 56), (7, 16), (7, 88), (8, 68), (8, 76), (9, 20), (9, 36), (9, 82), (10, 59), (10, 34), (10, 55), (11, 19), (11, 75), (12, 73), (12, 83), (13, 49), (14, 66), (14, 33), (14, 19), (15, 60), (15, 28), (16, 76), (17, 48), (18, 54), (19, 42), (21, 78), (21, 68), (22, 27), (23, 69), (23, 66), (24, 49), (24, 26), (25, 63), (25, 67), (26, 55), (27, 57), (28, 58), (29, 50), (29, 85), (30, 83), (30, 38), (31, 55), (31, 40), (31, 77), (32, 47), (32, 37), (33, 86), (34, 65), (35, 58), (36, 38), (37, 87), (37, 42), (39, 82), (39, 43), (40, 64), (43, 75), (43, 89), (44, 84), (44, 61), (45, 79), (45, 74), (46, 53), (47, 71), (50, 62), (58, 66), (63, 85), (64, 74), (67, 80), (70, 85), (72, 86), (77, 78), (80, 81), (86, 88)]",2.694059371948242
7,"[13, 56, 36, 84, 2, 3, 76, 4, 80, 5, 0, 71, 76, 9, 29, 51, 82, 6, 73, 27, 8, 13, 14, 11, 16, 10, 32, 86, 15, 49, 7, 39, 23, 25, 50, 37, 55, 22, 56, 24, 33, 61, 43, 29, 50, 44, 57, 24, 62, 21, 42, 70, 81, 0, 51, 22, 75, 65, 52, 73, 36, 17, 9, 8, 62, 4, 12, 72, 14, 19, 77, 16, 45, 11, 61, 30, 70, 26, 74, 39, 53, 65, 38, 41, 77, 78, 82, 72]",266781.97643745603,"[(0, 5), (0, 81), (0, 51), (1, 13), (2, 31), (2, 3), (3, 76), (4, 34), (4, 62), (4, 12), (5, 40), (6, 60), (6, 73), (7, 49), (7, 39), (8, 27), (8, 9), (8, 62), (9, 48), (9, 17), (10, 68), (10, 32), (11, 66), (11, 45), (11, 61), (12, 72), (13, 64), (13, 14), (14, 87), (14, 19), (15, 69), (15, 49), (16, 67), (16, 88), (16, 45), (17, 36), (18, 56), (19, 77), (20, 36), (21, 84), (21, 42), (22, 55), (22, 51), (22, 75), (23, 71), (23, 25), (24, 56), (24, 57), (24, 62), (25, 50), (26, 70), (26, 74), (27, 63), (28, 84), (29, 54), (29, 43), (29, 50), (30, 61), (30, 70), (32, 86), (33, 80), (33, 61), (35, 80), (36, 73), (37, 76), (37, 55), (38, 65), (38, 41), (39, 74), (39, 53), (41, 77), (42, 70), (43, 83), (44, 50), (44, 57), (46, 71), (47, 76), (51, 58), (52, 86), (52, 73), (53, 65), (56, 79), (59, 82), (65, 75), (72, 82), (72, 89), (77, 78), (78, 82), (81, 85)]",2.5025949478149414
8,"[76, 75, 15, 74, 11, 19, 51, 23, 1, 7, 4, 10, 24, 16, 11, 19, 25, 50, 13, 3, 26, 8, 51, 31, 67, 5, 24, 26, 47, 20, 0, 78, 14, 16, 17, 41, 8, 38, 25, 78, 2, 20, 63, 55, 33, 56, 45, 43, 37, 21, 9, 86, 10, 62, 59, 47, 7, 65, 23, 65, 6, 56, 60, 44, 54, 21, 27, 18, 34, 12, 63, 57, 87, 54, 29, 34, 60, 36, 0, 48, 18, 88, 28, 35, 9, 36, 12, 38]",262098.74941146496,"[(0, 70), (0, 87), (0, 48), (1, 49), (1, 7), (2, 74), (2, 20), (3, 13), (3, 26), (4, 52), (4, 10), (5, 67), (5, 24), (6, 65), (6, 56), (7, 47), (7, 65), (8, 66), (8, 41), (8, 38), (9, 77), (9, 35), (9, 36), (10, 79), (10, 62), (11, 39), (11, 61), (11, 19), (12, 84), (12, 36), (12, 38), (13, 50), (14, 72), (14, 16), (15, 32), (15, 74), (16, 58), (16, 17), (17, 41), (18, 27), (18, 48), (18, 88), (19, 40), (19, 25), (20, 69), (20, 63), (21, 37), (21, 82), (21, 27), (22, 76), (23, 46), (23, 80), (23, 65), (24, 53), (24, 26), (25, 73), (25, 78), (26, 47), (28, 88), (28, 35), (29, 54), (29, 34), (30, 75), (31, 51), (31, 67), (33, 55), (33, 56), (34, 83), (34, 60), (36, 60), (37, 43), (38, 89), (42, 51), (43, 45), (44, 81), (44, 54), (45, 76), (47, 59), (50, 64), (51, 68), (54, 86), (55, 75), (56, 60), (57, 63), (57, 87), (59, 62), (63, 85), (71, 78), (78, 86)]",2.5763585567474365
9,"[3, 59, 5, 0, 4, 72, 17, 9, 65, 21, 18, 8, 19, 42, 44, 47, 60, 22, 58, 78, 15, 30, 16, 37, 58, 40, 81, 24, 46, 23, 40, 0, 2, 14, 11, 89, 61, 27, 25, 73, 13, 21, 45, 88, 32, 1, 48, 6, 15, 39, 31, 6, 26, 26, 37, 57, 55, 84, 85, 12, 20, 63, 68, 28, 16, 55, 2, 61, 70, 64, 7, 85, 56, 12, 1, 89, 5, 80, 39, 24, 45, 34, 82, 19, 8, 87, 69, 63]",280579.78012703074,"[(0, 33), (0, 40), (0, 2), (1, 32), (1, 12), (1, 89), (2, 55), (2, 61), (3, 10), (3, 59), (4, 35), (4, 72), (5, 29), (5, 88), (5, 80), (6, 48), (6, 31), (6, 26), (7, 64), (7, 85), (8, 18), (8, 19), (8, 87), (9, 17), (9, 65), (11, 14), (11, 89), (12, 83), (12, 56), (13, 72), (13, 21), (14, 66), (15, 52), (15, 76), (15, 39), (16, 30), (16, 28), (16, 55), (17, 36), (18, 41), (19, 43), (19, 82), (20, 84), (20, 63), (21, 38), (21, 45), (22, 50), (22, 58), (23, 46), (23, 40), (24, 62), (24, 39), (24, 45), (25, 27), (25, 73), (26, 78), (26, 37), (27, 71), (28, 68), (30, 53), (31, 77), (32, 74), (34, 45), (34, 82), (37, 54), (37, 57), (39, 80), (40, 58), (42, 49), (42, 44), (44, 47), (46, 65), (47, 60), (48, 75), (51, 78), (55, 57), (56, 85), (58, 59), (60, 81), (61, 67), (61, 70), (63, 69), (63, 89), (64, 70), (68, 86), (69, 87), (73, 88), (79, 84), (81, 85)]",2.9755818843841553
10,"[14, 27, 65, 6, 7, 2, 84, 23, 11, 12, 2, 14, 33, 0, 25, 81, 18, 4, 30, 29, 47, 3, 5, 23, 46, 77, 67, 18, 31, 74, 28, 19, 22, 8, 49, 58, 45, 83, 9, 69, 16, 55, 66, 21, 22, 89, 75, 53, 10, 24, 4, 32, 63, 15, 15, 48, 38, 20, 1, 61, 54, 37, 71, 64, 42, 51, 43, 51, 16, 78, 81, 83, 8, 82, 20, 76, 75, 1, 56, 5, 66, 42, 49, 78, 38, 26, 82, 3]",268833.8391346486,"[(0, 33), (0, 25), (1, 80), (1, 75), (1, 56), (2, 7), (2, 12), (2, 14), (3, 47), (3, 82), (3, 89), (4, 41), (4, 24), (4, 32), (5, 50), (5, 56), (5, 66), (6, 34), (6, 7), (8, 62), (8, 83), (8, 82), (9, 68), (9, 69), (10, 53), (10, 24), (11, 39), (11, 12), (13, 14), (14, 33), (15, 63), (15, 77), (15, 48), (16, 69), (16, 51), (16, 78), (17, 27), (18, 40), (18, 59), (18, 31), (19, 28), (19, 22), (20, 79), (20, 88), (20, 76), (21, 72), (21, 22), (22, 89), (23, 36), (23, 52), (23, 46), (25, 81), (26, 38), (26, 82), (27, 65), (28, 60), (29, 30), (29, 47), (30, 44), (31, 74), (32, 63), (35, 84), (37, 54), (37, 71), (38, 48), (38, 78), (42, 64), (42, 66), (42, 49), (43, 86), (43, 51), (45, 58), (45, 83), (46, 77), (49, 65), (49, 78), (51, 85), (53, 74), (54, 61), (55, 70), (55, 66), (57, 67), (58, 67), (61, 84), (64, 71), (73, 75), (75, 76), (81, 87), (81, 83)]",2.49556040763855
