STT,Best Cost,Best Solution,Best Tree,Time
1,"[7, 8, 2, 1, 10, 2, 9, 1, 7, 3, 4, 9, 11]",24594.724545627654,"[(0, 7), (1, 8), (1, 13), (1, 7), (2, 6), (2, 10), (2, 9), (3, 7), (3, 4), (4, 9), (5, 8), (9, 11), (10, 12), (11, 14)]",0.8165130615234375
2,"[8, 3, 6, 0, 4, 9, 11, 1, 4, 2, 10, 9, 11]",23605.867090392305,"[(0, 6), (0, 4), (1, 13), (1, 4), (2, 4), (2, 10), (3, 7), (3, 6), (5, 8), (8, 9), (9, 10), (9, 11), (11, 12), (11, 14)]",0.8165328502655029
3,"[3, 4, 2, 1, 13, 14, 6, 11, 11, 12, 6, 10, 12]",28066.60072743071,"[(0, 3), (1, 2), (1, 13), (2, 4), (3, 4), (5, 14), (6, 7), (6, 13), (6, 10), (8, 11), (9, 11), (10, 12), (11, 12), (12, 14)]",0.8435370922088623
4,"[7, 8, 2, 2, 12, 10, 9, 13, 1, 6, 7, 0, 4]",27501.61628020847,"[(0, 7), (0, 4), (1, 13), (1, 6), (2, 8), (2, 11), (2, 12), (3, 7), (4, 14), (5, 8), (6, 7), (9, 10), (9, 13), (10, 12)]",0.8295257091522217
5,"[8, 4, 1, 2, 1, 0, 6, 7, 11, 3, 7, 4, 11]",26972.93336002927,"[(0, 1), (0, 6), (1, 9), (1, 2), (2, 10), (3, 13), (3, 7), (4, 8), (4, 7), (4, 11), (5, 8), (6, 7), (11, 12), (11, 14)]",0.8045198917388916
6,"[3, 6, 8, 0, 13, 9, 12, 1, 0, 7, 2, 9, 12]",26067.657645488947,"[(0, 6), (0, 1), (0, 7), (1, 13), (2, 7), (2, 9), (3, 4), (3, 6), (5, 8), (8, 13), (9, 10), (9, 12), (11, 12), (12, 14)]",0.7845718860626221
7,"[8, 3, 3, 0, 4, 1, 9, 2, 1, 2, 4, 12, 10]",23791.157873495602,"[(0, 3), (0, 4), (1, 8), (1, 13), (1, 2), (2, 9), (2, 4), (3, 6), (3, 7), (4, 12), (5, 8), (9, 11), (10, 12), (10, 14)]",0.7435746192932129
8,"[7, 3, 1, 13, 3, 6, 8, 13, 2, 2, 11, 9, 9]",26641.939004081054,"[(0, 7), (1, 5), (1, 13), (2, 10), (2, 12), (2, 11), (3, 4), (3, 7), (3, 6), (6, 8), (8, 13), (9, 11), (9, 13), (9, 14)]",0.7565467357635498
9,"[7, 6, 8, 3, 9, 10, 7, 3, 13, 2, 13, 1, 8]",27124.729957947242,"[(0, 7), (1, 13), (1, 8), (2, 12), (2, 13), (3, 6), (3, 7), (3, 13), (4, 6), (5, 8), (7, 10), (8, 14), (9, 11), (9, 10)]",0.7505917549133301
10,"[8, 0, 3, 13, 13, 1, 2, 10, 9, 4, 2, 9, 1]",25472.097517819133,"[(0, 6), (0, 3), (1, 8), (1, 9), (1, 14), (2, 11), (2, 4), (2, 9), (3, 13), (4, 13), (5, 8), (7, 13), (9, 10), (10, 12)]",0.7565476894378662
