STT,Best Cost,Best Tree,Time,Is Tree?
1,9219.530549184094,"[(0, 5), (0, 3), (1, 4), (1, 6), (2, 4), (2, 5), (3, 7)]",4.182754039764404,True
2,10103.203049730522,"[(0, 5), (1, 6), (2, 3), (2, 5), (2, 6), (3, 7), (4, 6)]",4.949533462524414,True
3,9262.27208719261,"[(0, 3), (0, 5), (1, 6), (2, 5), (2, 4), (3, 7), (4, 6)]",3.824040412902832,True
4,11595.103806327414,"[(0, 5), (1, 6), (2, 3), (2, 6), (2, 5), (3, 7), (4, 6)]",4.556548595428467,True
5,9360.497456448258,"[(0, 3), (0, 5), (1, 4), (2, 5), (2, 4), (3, 7), (4, 6)]",3.987976312637329,True
6,10149.862721546684,"[(0, 5), (1, 6), (2, 6), (2, 5), (3, 5), (3, 7), (4, 6)]",4.236124753952026,True
7,12422.091113564184,"[(0, 2), (0, 3), (1, 6), (2, 4), (2, 5), (3, 7), (4, 6)]",4.234517574310303,True
8,11283.443277819964,"[(0, 4), (0, 5), (1, 6), (1, 4), (2, 4), (3, 5), (3, 7)]",4.1247947216033936,True
9,10302.133334017732,"[(0, 5), (1, 4), (1, 6), (2, 4), (3, 7), (3, 5), (4, 5)]",4.1443517208099365,True
10,9796.371963420086,"[(0, 3), (0, 5), (1, 6), (2, 5), (2, 6), (3, 7), (4, 6)]",4.054914474487305,True
