STT,Best Cost,Best Tree,Time,Is Tree?
1,168320.52130515123,"[(0, 40), (1, 13), (2, 36), (2, 43), (3, 32), (3, 25), (4, 40), (4, 45), (5, 6), (6, 46), (6, 56), (7, 52), (7, 34), (7, 14), (8, 26), (8, 27), (8, 52), (9, 10), (9, 58), (9, 28), (10, 48), (10, 20), (11, 13), (11, 39), (11, 25), (12, 39), (13, 48), (14, 43), (14, 29), (15, 37), (16, 36), (17, 45), (18, 21), (18, 47), (19, 34), (22, 54), (22, 31), (23, 51), (23, 35), (23, 55), (24, 46), (24, 51), (24, 47), (26, 37), (27, 41), (27, 54), (28, 33), (28, 59), (30, 49), (34, 45), (36, 50), (38, 47), (41, 53), (41, 55), (42, 53), (44, 50), (48, 52), (49, 50), (55, 57)]",311.8724639415741,True
2,171801.5459784177,"[(0, 40), (1, 3), (2, 48), (2, 43), (2, 35), (3, 41), (4, 36), (5, 54), (5, 13), (5, 24), (6, 59), (7, 24), (8, 37), (8, 10), (8, 24), (9, 22), (10, 52), (10, 43), (11, 12), (11, 28), (12, 42), (12, 46), (13, 21), (13, 16), (14, 45), (15, 45), (16, 36), (17, 56), (17, 42), (17, 26), (18, 38), (19, 56), (20, 41), (20, 44), (20, 53), (22, 54), (23, 52), (25, 26), (25, 38), (27, 37), (28, 55), (29, 52), (30, 40), (30, 59), (30, 50), (31, 39), (32, 57), (33, 34), (34, 37), (38, 45), (39, 43), (39, 57), (41, 46), (44, 59), (46, 51), (47, 53), (49, 55), (49, 57), (50, 58)]",334.94414258003235,True
3,161049.5182571474,"[(0, 23), (1, 28), (1, 47), (1, 58), (2, 13), (3, 19), (4, 11), (5, 56), (5, 54), (6, 56), (7, 17), (8, 34), (9, 51), (9, 20), (10, 23), (11, 53), (12, 51), (12, 24), (13, 32), (13, 34), (14, 44), (14, 18), (14, 35), (15, 49), (15, 33), (16, 34), (16, 41), (16, 37), (17, 29), (18, 38), (18, 31), (19, 59), (19, 43), (21, 42), (22, 36), (22, 45), (22, 27), (23, 40), (24, 45), (25, 42), (25, 36), (26, 32), (26, 47), (26, 39), (28, 49), (28, 56), (29, 50), (29, 52), (30, 55), (30, 37), (31, 46), (32, 40), (37, 38), (40, 48), (44, 59), (45, 53), (47, 51), (49, 50), (57, 58)]",321.8049142360687,True
4,148431.3357765643,"[(0, 21), (1, 42), (2, 19), (2, 57), (3, 28), (3, 23), (3, 24), (4, 7), (5, 9), (5, 28), (6, 20), (6, 31), (6, 14), (7, 42), (7, 47), (8, 21), (8, 32), (8, 49), (9, 54), (10, 58), (11, 34), (12, 25), (13, 53), (13, 47), (13, 27), (14, 37), (14, 53), (15, 29), (15, 57), (16, 52), (16, 43), (17, 39), (17, 18), (18, 19), (18, 25), (19, 21), (20, 44), (22, 27), (23, 48), (24, 34), (24, 51), (26, 51), (29, 46), (30, 35), (30, 50), (31, 58), (31, 59), (32, 41), (33, 47), (35, 40), (36, 51), (36, 40), (38, 46), (39, 40), (42, 52), (43, 48), (45, 48), (54, 56), (55, 58)]",302.10088562965393,True
5,172338.7622090041,"[(0, 25), (1, 37), (1, 29), (1, 2), (2, 40), (2, 13), (3, 27), (3, 7), (3, 36), (4, 9), (5, 49), (5, 6), (6, 54), (6, 9), (8, 42), (8, 43), (8, 52), (9, 46), (10, 55), (11, 51), (11, 21), (11, 18), (12, 18), (14, 57), (14, 34), (15, 44), (15, 23), (15, 16), (16, 32), (16, 35), (17, 58), (18, 40), (19, 34), (19, 33), (20, 26), (20, 58), (21, 39), (22, 27), (23, 45), (24, 54), (25, 43), (26, 40), (26, 38), (27, 30), (28, 37), (29, 56), (29, 41), (30, 58), (30, 55), (31, 48), (34, 35), (35, 43), (39, 47), (41, 49), (41, 59), (44, 50), (44, 51), (45, 53), (48, 51)]",325.13435411453247,True
6,165794.0662499998,"[(0, 4), (1, 25), (1, 11), (2, 10), (3, 44), (3, 45), (3, 48), (4, 35), (4, 34), (5, 54), (6, 29), (6, 25), (6, 7), (7, 21), (8, 19), (9, 31), (9, 57), (10, 44), (11, 24), (12, 45), (12, 42), (12, 47), (13, 39), (13, 43), (14, 32), (15, 36), (15, 54), (15, 46), (16, 52), (16, 39), (16, 34), (17, 24), (17, 38), (18, 42), (18, 36), (19, 48), (20, 35), (22, 56), (22, 55), (23, 40), (23, 31), (23, 29), (25, 49), (26, 52), (27, 57), (28, 45), (28, 41), (30, 50), (32, 35), (32, 51), (33, 34), (36, 57), (37, 39), (40, 59), (41, 53), (41, 58), (44, 55), (50, 53), (51, 53)]",373.29121923446655,True
7,176411.10732884798,"[(0, 43), (0, 15), (1, 37), (2, 7), (3, 34), (4, 7), (4, 32), (5, 56), (5, 15), (6, 48), (6, 58), (6, 49), (8, 22), (8, 14), (8, 53), (9, 40), (10, 12), (10, 56), (10, 23), (11, 47), (12, 26), (12, 53), (13, 51), (13, 40), (15, 32), (16, 18), (16, 57), (16, 25), (17, 18), (18, 36), (19, 37), (19, 45), (19, 38), (20, 59), (20, 31), (21, 59), (23, 35), (24, 25), (24, 34), (24, 47), (26, 55), (26, 45), (27, 46), (27, 54), (28, 59), (28, 50), (29, 55), (29, 48), (30, 50), (32, 50), (33, 49), (34, 52), (39, 53), (41, 55), (42, 57), (44, 57), (45, 51), (46, 58), (48, 52)]",323.9781975746155,True
8,152934.44505687006,"[(0, 21), (1, 25), (1, 46), (2, 35), (3, 8), (4, 23), (4, 30), (5, 20), (6, 55), (6, 56), (6, 9), (7, 38), (8, 12), (8, 32), (9, 20), (10, 22), (10, 11), (11, 12), (13, 16), (13, 25), (13, 44), (14, 39), (15, 57), (15, 58), (16, 18), (16, 21), (17, 32), (18, 38), (18, 42), (19, 45), (20, 49), (21, 36), (22, 59), (22, 53), (24, 26), (24, 40), (24, 42), (25, 39), (26, 33), (26, 43), (27, 46), (28, 57), (28, 55), (29, 42), (29, 41), (30, 58), (30, 35), (31, 48), (31, 56), (32, 37), (34, 38), (37, 52), (41, 59), (45, 54), (45, 46), (47, 51), (50, 55), (50, 59), (51, 57)]",337.9077742099762,True
9,175443.2539854464,"[(0, 36), (0, 13), (1, 11), (1, 30), (1, 52), (2, 39), (2, 36), (3, 59), (4, 43), (5, 44), (5, 27), (6, 56), (7, 35), (8, 55), (8, 54), (9, 28), (10, 31), (12, 18), (13, 43), (14, 31), (14, 30), (14, 35), (15, 40), (16, 18), (17, 34), (17, 53), (18, 34), (19, 44), (20, 58), (21, 29), (21, 47), (22, 58), (22, 29), (22, 30), (23, 57), (24, 59), (24, 27), (25, 39), (25, 38), (26, 36), (28, 32), (28, 41), (29, 44), (32, 42), (32, 57), (33, 55), (34, 39), (37, 45), (37, 48), (40, 41), (40, 55), (41, 49), (45, 46), (45, 51), (46, 54), (49, 50), (49, 59), (51, 53), (54, 56)]",315.6243097782135,True
10,174928.02249606934,"[(0, 26), (0, 2), (1, 35), (1, 51), (1, 6), (3, 37), (4, 32), (4, 41), (5, 50), (6, 14), (7, 48), (8, 13), (8, 57), (9, 31), (9, 50), (9, 20), (10, 46), (10, 58), (10, 18), (11, 22), (11, 12), (12, 48), (12, 25), (13, 43), (13, 39), (14, 24), (14, 16), (15, 53), (15, 44), (17, 29), (19, 26), (20, 44), (20, 54), (21, 57), (23, 36), (23, 54), (25, 47), (25, 40), (26, 41), (27, 55), (27, 30), (28, 45), (28, 58), (28, 51), (29, 56), (32, 45), (33, 39), (34, 40), (35, 37), (38, 59), (40, 42), (41, 42), (45, 53), (46, 52), (46, 59), (48, 49), (50, 55), (52, 57), (54, 56)]",334.15387058258057,True
