STT,Best Cost,Best Tree,Time,Is Tree?
1,166971.65591554562,"[(0, 27), (0, 1), (2, 17), (2, 41), (2, 52), (3, 21), (3, 37), (3, 57), (4, 23), (4, 11), (5, 17), (6, 36), (6, 11), (6, 13), (7, 22), (7, 44), (8, 49), (8, 29), (9, 41), (9, 14), (10, 42), (11, 20), (12, 24), (12, 22), (13, 54), (13, 55), (14, 36), (14, 16), (15, 56), (15, 16), (16, 57), (18, 37), (18, 40), (19, 53), (21, 48), (21, 46), (22, 43), (23, 35), (23, 30), (24, 59), (24, 47), (25, 48), (26, 39), (26, 27), (27, 45), (28, 55), (30, 47), (31, 38), (32, 54), (33, 57), (34, 51), (35, 51), (36, 49), (37, 53), (38, 42), (39, 49), (42, 59), (43, 58), (46, 50)]",232.72203993797302,True
2,174245.31383602094,"[(0, 36), (0, 17), (0, 9), (1, 57), (1, 14), (2, 22), (2, 57), (2, 42), (3, 37), (3, 41), (4, 55), (4, 8), (4, 24), (5, 43), (5, 59), (5, 49), (6, 51), (7, 20), (7, 49), (7, 34), (10, 35), (11, 12), (11, 56), (11, 13), (12, 19), (12, 24), (15, 41), (15, 46), (15, 28), (16, 25), (17, 56), (17, 33), (18, 20), (18, 35), (18, 47), (21, 42), (21, 41), (22, 29), (22, 23), (24, 43), (25, 58), (26, 36), (26, 44), (27, 39), (29, 38), (30, 34), (30, 51), (31, 36), (32, 48), (32, 58), (34, 45), (37, 54), (39, 49), (40, 42), (40, 55), (46, 48), (46, 50), (50, 53), (52, 56)]",204.07306170463562,True
3,148194.0511569526,"[(0, 23), (0, 31), (1, 34), (1, 43), (1, 12), (2, 3), (3, 59), (3, 41), (4, 17), (5, 33), (5, 18), (6, 40), (6, 46), (6, 57), (7, 40), (7, 35), (7, 19), (8, 35), (9, 50), (9, 27), (9, 17), (10, 44), (11, 57), (11, 16), (12, 44), (13, 45), (13, 20), (14, 28), (14, 27), (15, 37), (15, 46), (17, 18), (18, 44), (21, 25), (21, 59), (21, 32), (22, 29), (23, 47), (24, 30), (24, 29), (25, 42), (25, 48), (26, 41), (27, 45), (28, 55), (30, 43), (31, 51), (31, 35), (34, 54), (34, 49), (36, 49), (38, 51), (39, 49), (40, 56), (42, 55), (45, 58), (46, 52), (50, 56), (53, 56)]",222.446706533432,True
4,160601.27903323836,"[(0, 14), (0, 54), (0, 34), (1, 47), (1, 12), (2, 57), (3, 57), (3, 4), (3, 19), (4, 37), (5, 43), (5, 33), (5, 23), (6, 59), (6, 35), (6, 38), (7, 10), (7, 57), (7, 11), (8, 29), (8, 33), (9, 35), (9, 20), (9, 39), (11, 24), (11, 27), (13, 48), (15, 53), (15, 28), (16, 19), (16, 58), (17, 23), (17, 58), (17, 42), (18, 45), (19, 45), (20, 26), (20, 51), (21, 59), (22, 42), (23, 44), (25, 56), (26, 50), (26, 53), (27, 41), (30, 40), (31, 48), (32, 59), (34, 39), (35, 47), (36, 41), (40, 43), (43, 49), (45, 47), (46, 55), (48, 54), (50, 56), (52, 53), (55, 58)]",208.3063519001007,True
5,180573.5844528838,"[(0, 14), (0, 26), (1, 22), (1, 58), (2, 25), (2, 21), (3, 54), (4, 14), (4, 5), (5, 19), (6, 47), (6, 35), (7, 24), (7, 13), (8, 13), (9, 36), (9, 32), (9, 22), (10, 39), (11, 37), (12, 39), (12, 43), (13, 59), (14, 50), (15, 56), (15, 53), (16, 48), (17, 52), (17, 58), (17, 37), (18, 40), (18, 32), (19, 33), (19, 45), (20, 32), (20, 57), (21, 42), (23, 33), (24, 58), (24, 27), (27, 43), (27, 28), (29, 43), (30, 49), (31, 35), (31, 38), (34, 36), (35, 39), (37, 42), (38, 44), (40, 48), (40, 49), (41, 53), (41, 48), (41, 51), (46, 50), (46, 47), (53, 55), (54, 56)]",191.8567397594452,True
6,176208.41412401394,"[(0, 16), (0, 26), (1, 48), (2, 26), (2, 17), (2, 19), (3, 53), (3, 20), (3, 18), (4, 56), (4, 11), (4, 35), (5, 47), (5, 44), (5, 16), (6, 52), (7, 45), (7, 49), (8, 11), (8, 58), (8, 23), (9, 29), (10, 45), (10, 51), (11, 50), (12, 49), (13, 27), (13, 28), (13, 43), (14, 59), (14, 15), (16, 21), (17, 34), (17, 46), (19, 33), (20, 44), (22, 57), (22, 30), (22, 39), (24, 57), (24, 41), (24, 35), (25, 46), (28, 37), (29, 48), (29, 39), (31, 34), (31, 49), (32, 53), (34, 37), (36, 47), (37, 59), (38, 40), (40, 57), (42, 48), (43, 55), (50, 52), (50, 59), (52, 54)]",224.81845951080322,True
7,171047.25228256528,"[(0, 34), (0, 11), (1, 47), (1, 13), (1, 57), (2, 41), (2, 6), (2, 52), (3, 25), (3, 9), (3, 45), (4, 45), (5, 39), (5, 22), (5, 8), (6, 40), (6, 21), (7, 30), (7, 19), (8, 49), (8, 33), (10, 20), (10, 58), (10, 43), (12, 44), (12, 16), (12, 19), (13, 28), (13, 27), (14, 38), (15, 41), (15, 46), (15, 56), (16, 29), (16, 59), (17, 55), (18, 21), (18, 35), (19, 27), (21, 37), (23, 35), (24, 30), (25, 46), (25, 42), (26, 31), (29, 38), (30, 34), (31, 45), (32, 38), (34, 40), (35, 54), (36, 39), (36, 58), (37, 55), (39, 44), (41, 53), (42, 48), (46, 51), (50, 52)]",223.66200232505798,True
8,190114.0300660842,"[(0, 34), (0, 55), (0, 2), (1, 6), (2, 17), (3, 23), (3, 43), (4, 37), (5, 43), (5, 36), (6, 40), (7, 19), (7, 40), (8, 43), (8, 29), (8, 13), (9, 17), (10, 55), (11, 13), (11, 18), (12, 39), (12, 44), (12, 57), (13, 39), (14, 20), (14, 16), (14, 21), (15, 32), (17, 41), (18, 42), (18, 37), (19, 30), (19, 34), (20, 40), (20, 27), (21, 25), (22, 39), (22, 28), (24, 55), (24, 58), (26, 44), (26, 34), (29, 45), (30, 35), (31, 42), (32, 52), (32, 48), (33, 38), (35, 49), (35, 59), (38, 46), (38, 59), (44, 51), (46, 48), (46, 50), (47, 51), (51, 56), (52, 53), (54, 57)]",224.38879370689392,True
9,170150.19949617967,"[(0, 14), (0, 8), (0, 1), (1, 41), (2, 18), (2, 17), (2, 55), (3, 18), (4, 25), (5, 27), (5, 45), (5, 24), (6, 21), (6, 57), (7, 8), (9, 27), (9, 35), (10, 30), (10, 58), (11, 39), (11, 47), (12, 22), (12, 43), (12, 57), (13, 43), (13, 58), (13, 36), (14, 42), (15, 28), (16, 58), (16, 59), (16, 34), (17, 26), (18, 50), (19, 33), (19, 55), (20, 56), (20, 57), (21, 42), (21, 52), (23, 39), (23, 44), (24, 29), (25, 45), (25, 50), (27, 28), (28, 31), (30, 33), (31, 39), (32, 59), (33, 49), (37, 54), (37, 48), (38, 52), (40, 42), (45, 51), (46, 50), (48, 53), (54, 59)]",226.04419898986816,True
10,182212.51894024893,"[(0, 3), (0, 9), (1, 30), (1, 32), (2, 57), (2, 3), (2, 17), (3, 50), (4, 24), (4, 52), (4, 35), (5, 24), (5, 39), (6, 19), (7, 54), (7, 56), (8, 11), (10, 24), (10, 17), (11, 25), (11, 28), (12, 20), (12, 49), (13, 53), (14, 41), (14, 48), (15, 25), (16, 37), (17, 55), (18, 29), (18, 59), (19, 43), (19, 49), (21, 31), (21, 38), (22, 33), (22, 29), (23, 39), (23, 30), (23, 44), (25, 36), (26, 29), (27, 31), (27, 55), (30, 43), (34, 42), (36, 47), (36, 43), (37, 56), (40, 47), (41, 54), (41, 55), (42, 54), (45, 47), (46, 57), (50, 53), (51, 59), (51, 57), (53, 58)]",190.5677089691162,True
