STT,Best Cost,Best Tree,Time,Is Tree?
1,150272.49299761004,"[(0, 3), (0, 56), (1, 52), (1, 35), (1, 34), (2, 23), (3, 32), (4, 12), (4, 42), (4, 45), (5, 53), (6, 31), (6, 41), (6, 50), (7, 54), (8, 28), (9, 33), (10, 19), (11, 21), (11, 46), (12, 48), (13, 45), (13, 38), (14, 51), (15, 49), (15, 17), (16, 26), (16, 43), (16, 28), (18, 36), (18, 29), (19, 33), (20, 55), (21, 49), (21, 33), (22, 29), (23, 40), (23, 50), (24, 59), (24, 50), (24, 55), (25, 58), (25, 53), (27, 49), (27, 47), (28, 30), (30, 36), (30, 58), (32, 37), (36, 38), (37, 41), (37, 43), (39, 51), (41, 51), (43, 44), (46, 56), (52, 54), (52, 58), (53, 57)]",317.7594401836395,True
2,171202.8620908475,"[(0, 25), (0, 21), (0, 1), (1, 43), (2, 8), (3, 58), (4, 27), (4, 34), (5, 27), (5, 16), (6, 15), (6, 40), (6, 50), (7, 45), (7, 33), (7, 9), (8, 28), (8, 35), (9, 55), (10, 17), (10, 46), (10, 55), (11, 14), (11, 49), (12, 19), (12, 20), (12, 39), (13, 41), (13, 59), (13, 23), (14, 50), (15, 42), (18, 39), (20, 46), (21, 29), (22, 23), (22, 44), (24, 37), (24, 31), (25, 58), (26, 34), (27, 35), (30, 38), (31, 55), (31, 34), (32, 33), (33, 47), (35, 51), (36, 43), (38, 59), (40, 45), (40, 48), (44, 52), (46, 59), (47, 56), (51, 58), (51, 54), (53, 54), (53, 57)]",313.4929790496826,True
3,144723.5209258569,"[(0, 34), (0, 35), (1, 51), (1, 36), (2, 57), (3, 20), (3, 36), (4, 48), (5, 57), (6, 58), (6, 40), (6, 19), (7, 14), (8, 12), (8, 44), (8, 30), (9, 19), (9, 38), (9, 55), (10, 18), (10, 52), (10, 28), (11, 41), (11, 56), (12, 32), (12, 50), (13, 30), (14, 46), (14, 21), (15, 40), (15, 17), (16, 44), (18, 30), (18, 29), (19, 50), (20, 37), (21, 27), (21, 47), (22, 32), (23, 31), (23, 43), (24, 39), (25, 54), (26, 41), (27, 45), (29, 43), (29, 53), (32, 39), (33, 49), (33, 50), (33, 59), (34, 38), (37, 56), (38, 42), (39, 54), (40, 56), (43, 46), (48, 52), (53, 57)]",311.9685106277466,True
4,152858.19246056245,"[(0, 29), (1, 3), (2, 44), (2, 6), (3, 9), (4, 38), (5, 15), (6, 42), (7, 48), (8, 54), (9, 15), (9, 13), (10, 34), (10, 57), (11, 24), (11, 36), (11, 46), (12, 58), (12, 38), (12, 59), (13, 36), (13, 19), (14, 55), (16, 17), (16, 39), (18, 23), (19, 50), (20, 21), (20, 35), (21, 55), (21, 45), (22, 39), (23, 40), (23, 32), (24, 43), (25, 54), (25, 58), (26, 45), (26, 27), (26, 52), (28, 50), (29, 54), (29, 51), (30, 38), (31, 33), (31, 45), (31, 53), (32, 33), (32, 36), (33, 47), (34, 46), (37, 50), (37, 49), (39, 43), (41, 47), (43, 51), (44, 58), (44, 48), (52, 56)]",318.2784368991852,True
5,173652.37496655827,"[(0, 36), (0, 40), (0, 22), (1, 44), (1, 30), (2, 59), (2, 57), (2, 25), (3, 52), (3, 11), (4, 9), (4, 46), (4, 48), (5, 17), (6, 58), (6, 56), (6, 17), (7, 35), (8, 22), (8, 18), (9, 38), (9, 26), (10, 40), (10, 19), (11, 55), (12, 26), (13, 52), (14, 36), (15, 52), (16, 35), (18, 51), (18, 35), (20, 33), (20, 24), (21, 27), (21, 42), (21, 37), (22, 39), (23, 24), (23, 50), (23, 53), (24, 43), (26, 34), (27, 31), (28, 57), (29, 50), (30, 31), (32, 59), (32, 56), (33, 49), (34, 45), (34, 39), (37, 39), (41, 45), (41, 43), (43, 54), (45, 47), (47, 59), (47, 55)]",286.75721859931946,True
6,164154.55379427958,"[(0, 26), (0, 22), (0, 36), (1, 54), (1, 34), (1, 59), (2, 44), (3, 28), (3, 23), (4, 42), (4, 6), (5, 38), (6, 58), (7, 41), (7, 48), (7, 33), (8, 27), (9, 24), (10, 32), (10, 17), (10, 57), (11, 49), (11, 56), (11, 25), (12, 32), (13, 19), (13, 55), (14, 38), (14, 46), (15, 22), (15, 59), (16, 35), (18, 25), (18, 45), (18, 52), (19, 28), (20, 47), (20, 59), (20, 56), (21, 33), (23, 46), (23, 35), (24, 26), (25, 57), (27, 48), (28, 30), (29, 56), (30, 44), (31, 51), (31, 38), (32, 46), (33, 49), (35, 43), (36, 40), (37, 49), (37, 50), (39, 53), (39, 54), (57, 58)]",443.9581995010376,True
7,175408.31279214664,"[(0, 40), (0, 55), (0, 11), (1, 51), (2, 44), (2, 17), (3, 57), (3, 38), (4, 33), (5, 44), (6, 26), (7, 25), (7, 59), (7, 49), (8, 52), (9, 20), (9, 21), (10, 28), (12, 29), (12, 56), (12, 39), (13, 44), (13, 34), (13, 43), (14, 42), (14, 29), (14, 37), (15, 45), (16, 26), (18, 32), (18, 50), (18, 46), (19, 57), (21, 36), (21, 59), (22, 58), (22, 56), (23, 55), (23, 37), (24, 32), (24, 52), (26, 27), (27, 54), (27, 48), (28, 46), (29, 47), (30, 54), (30, 35), (31, 41), (31, 32), (33, 48), (34, 36), (34, 45), (36, 53), (37, 50), (39, 54), (46, 53), (48, 51), (53, 57)]",361.20938897132874,True
8,159660.89078178466,"[(0, 27), (0, 55), (1, 22), (2, 22), (2, 15), (3, 46), (3, 11), (3, 21), (4, 23), (5, 17), (5, 25), (5, 10), (6, 44), (6, 50), (6, 51), (7, 12), (7, 29), (8, 15), (8, 36), (9, 52), (9, 48), (9, 20), (10, 50), (11, 55), (11, 34), (12, 27), (12, 38), (13, 49), (14, 21), (15, 37), (16, 57), (17, 19), (18, 35), (19, 40), (21, 48), (22, 29), (23, 26), (23, 57), (24, 56), (25, 58), (27, 33), (28, 40), (29, 30), (30, 35), (31, 39), (32, 56), (32, 47), (33, 59), (33, 49), (34, 57), (34, 50), (37, 56), (39, 52), (40, 41), (41, 53), (42, 46), (43, 51), (45, 55), (51, 54)]",365.9118092060089,True
9,169133.8340959931,"[(0, 36), (1, 11), (2, 41), (2, 10), (3, 32), (4, 14), (4, 34), (5, 10), (6, 31), (7, 12), (7, 43), (7, 38), (8, 47), (8, 58), (8, 16), (9, 55), (11, 15), (11, 49), (13, 37), (14, 41), (14, 20), (15, 51), (16, 57), (17, 18), (18, 51), (19, 53), (20, 35), (21, 32), (22, 43), (23, 26), (23, 55), (23, 33), (24, 56), (24, 50), (25, 29), (25, 51), (26, 36), (26, 39), (27, 49), (27, 53), (28, 45), (28, 44), (29, 48), (29, 33), (30, 54), (31, 37), (31, 49), (32, 40), (36, 40), (38, 48), (38, 59), (39, 52), (40, 41), (42, 50), (43, 54), (44, 52), (46, 59), (54, 58), (55, 56)]",287.80439472198486,True
10,163215.99998699792,"[(0, 46), (0, 29), (1, 40), (1, 36), (2, 25), (3, 45), (3, 23), (3, 42), (4, 51), (4, 38), (5, 15), (6, 37), (6, 15), (7, 12), (8, 29), (9, 49), (9, 53), (10, 34), (11, 46), (11, 48), (11, 26), (12, 50), (12, 33), (13, 26), (14, 15), (16, 53), (16, 58), (17, 19), (17, 53), (18, 52), (19, 24), (20, 24), (21, 50), (22, 30), (25, 30), (25, 51), (27, 55), (27, 31), (28, 45), (28, 57), (28, 35), (31, 37), (31, 59), (32, 50), (33, 59), (33, 47), (34, 59), (35, 52), (36, 57), (36, 43), (37, 54), (39, 45), (39, 54), (41, 56), (42, 46), (44, 57), (44, 51), (47, 49), (52, 56)]",307.08114552497864,True
