STT,Best Cost,Best Tree,Time,Is Tree?
1,176888.4269917905,"[(0, 13), (0, 38), (0, 58), (1, 39), (2, 56), (2, 40), (3, 44), (3, 51), (4, 59), (5, 12), (5, 53), (5, 20), (6, 52), (6, 45), (7, 33), (7, 29), (7, 55), (8, 42), (8, 10), (8, 19), (9, 10), (9, 43), (9, 37), (11, 32), (11, 31), (12, 19), (14, 51), (15, 49), (15, 59), (15, 44), (16, 18), (16, 36), (17, 20), (17, 39), (18, 57), (19, 29), (21, 55), (22, 50), (23, 58), (24, 44), (25, 35), (25, 33), (25, 54), (26, 39), (27, 34), (28, 40), (28, 43), (30, 46), (31, 42), (33, 50), (34, 42), (36, 37), (37, 49), (38, 47), (40, 45), (41, 43), (46, 56), (48, 52), (58, 59)]",330.92402815818787,True
2,171923.55864737442,"[(0, 11), (0, 15), (0, 33), (1, 12), (1, 23), (2, 38), (3, 59), (3, 19), (3, 52), (4, 9), (5, 40), (5, 49), (5, 44), (6, 14), (7, 29), (7, 27), (8, 26), (8, 19), (8, 18), (9, 49), (9, 10), (10, 31), (10, 36), (12, 57), (13, 39), (13, 19), (13, 42), (14, 52), (14, 54), (16, 44), (16, 37), (17, 54), (20, 44), (21, 24), (21, 45), (22, 39), (22, 23), (23, 34), (24, 55), (25, 52), (26, 38), (26, 41), (27, 58), (27, 51), (28, 39), (28, 43), (29, 36), (30, 41), (32, 40), (33, 38), (34, 48), (35, 59), (36, 50), (37, 53), (40, 42), (46, 55), (47, 56), (50, 56), (51, 55)]",285.04857063293457,True
3,160900.4980026371,"[(0, 59), (0, 1), (0, 38), (2, 54), (3, 19), (3, 55), (4, 26), (4, 49), (5, 26), (6, 28), (7, 27), (7, 23), (8, 9), (8, 30), (9, 29), (9, 10), (11, 52), (12, 53), (12, 24), (12, 43), (13, 27), (14, 22), (14, 54), (15, 52), (15, 21), (16, 52), (17, 45), (18, 47), (18, 39), (20, 26), (20, 31), (21, 58), (21, 38), (22, 45), (22, 27), (23, 58), (24, 34), (24, 57), (25, 43), (28, 33), (28, 34), (29, 39), (29, 50), (30, 41), (31, 42), (31, 56), (32, 54), (32, 40), (33, 48), (34, 35), (36, 44), (37, 47), (38, 43), (39, 49), (44, 50), (46, 49), (47, 58), (51, 57), (55, 57)]",348.69270300865173,True
4,171142.40075459995,"[(0, 6), (0, 15), (1, 55), (1, 43), (2, 29), (2, 47), (3, 8), (4, 55), (4, 30), (5, 46), (5, 56), (5, 23), (6, 50), (6, 14), (7, 27), (8, 26), (8, 34), (9, 46), (9, 38), (10, 52), (10, 31), (11, 56), (11, 40), (11, 13), (12, 48), (14, 25), (15, 28), (16, 37), (16, 42), (17, 21), (17, 22), (18, 45), (19, 44), (19, 41), (19, 29), (20, 57), (20, 35), (21, 54), (24, 28), (25, 48), (25, 42), (27, 53), (27, 36), (28, 54), (29, 49), (32, 45), (33, 41), (33, 53), (34, 48), (34, 43), (38, 59), (38, 52), (39, 52), (40, 55), (40, 58), (41, 42), (45, 57), (49, 51), (57, 58)]",376.56612253189087,True
5,171519.17965624252,"[(0, 38), (1, 25), (2, 34), (3, 18), (4, 5), (5, 26), (6, 25), (6, 55), (6, 17), (7, 27), (8, 31), (9, 29), (9, 30), (10, 22), (11, 21), (11, 32), (12, 33), (12, 35), (13, 14), (14, 28), (15, 58), (15, 57), (15, 17), (16, 49), (16, 40), (16, 58), (17, 51), (18, 55), (18, 35), (19, 39), (19, 53), (20, 34), (20, 47), (20, 37), (21, 41), (21, 42), (22, 44), (22, 59), (23, 45), (23, 57), (24, 43), (24, 52), (24, 39), (25, 54), (26, 47), (27, 32), (28, 59), (29, 52), (29, 48), (31, 37), (31, 36), (34, 38), (37, 50), (38, 43), (41, 49), (44, 57), (46, 53), (48, 56), (52, 55)]",365.3677158355713,True
6,175337.35761762486,"[(0, 6), (1, 43), (2, 4), (3, 37), (4, 38), (4, 52), (5, 41), (6, 48), (6, 25), (7, 18), (7, 36), (8, 27), (8, 20), (8, 39), (9, 16), (9, 27), (9, 29), (10, 46), (10, 27), (11, 58), (11, 28), (11, 40), (12, 45), (12, 39), (12, 19), (13, 43), (14, 59), (15, 21), (16, 37), (16, 30), (17, 49), (18, 50), (19, 36), (20, 47), (21, 24), (21, 54), (22, 38), (22, 51), (23, 45), (24, 59), (26, 47), (28, 39), (29, 44), (31, 53), (32, 52), (33, 57), (34, 58), (34, 53), (35, 57), (37, 41), (38, 56), (42, 56), (43, 55), (44, 56), (48, 50), (48, 57), (49, 50), (52, 55), (55, 59)]",359.64127349853516,True
7,181086.99859094986,"[(0, 14), (0, 25), (0, 1), (1, 59), (1, 50), (2, 43), (3, 8), (4, 24), (5, 17), (5, 42), (6, 49), (6, 14), (6, 54), (7, 18), (7, 56), (7, 53), (8, 45), (8, 44), (9, 24), (9, 41), (10, 41), (11, 48), (12, 27), (13, 48), (13, 40), (14, 58), (15, 18), (16, 30), (16, 35), (17, 21), (17, 22), (19, 22), (19, 56), (20, 55), (21, 58), (21, 29), (23, 28), (24, 59), (25, 32), (25, 43), (26, 35), (26, 49), (27, 57), (28, 45), (29, 37), (31, 46), (33, 37), (34, 38), (34, 48), (36, 55), (38, 59), (39, 44), (39, 41), (39, 51), (40, 55), (43, 47), (44, 46), (47, 57), (49, 52)]",326.6032373905182,True
8,163390.0628976052,"[(0, 21), (0, 40), (1, 59), (2, 9), (3, 47), (3, 10), (3, 8), (4, 38), (4, 12), (4, 19), (5, 26), (5, 40), (5, 32), (6, 52), (7, 50), (7, 33), (8, 27), (9, 49), (9, 30), (10, 50), (10, 20), (11, 54), (12, 35), (13, 21), (13, 43), (13, 35), (14, 45), (14, 31), (15, 55), (16, 30), (17, 43), (17, 28), (18, 48), (18, 36), (18, 29), (19, 27), (19, 39), (20, 45), (20, 56), (21, 25), (22, 42), (23, 38), (24, 42), (24, 28), (24, 34), (36, 53), (36, 55), (37, 53), (38, 59), (39, 52), (39, 58), (41, 56), (44, 56), (46, 49), (47, 53), (49, 51), (50, 57), (51, 58), (54, 58)]",320.72388458251953,True
9,163728.8560560177,"[(0, 23), (0, 25), (0, 59), (1, 42), (1, 48), (2, 28), (2, 4), (2, 49), (3, 26), (3, 16), (4, 18), (4, 16), (5, 9), (5, 47), (6, 17), (7, 53), (7, 45), (7, 55), (8, 41), (8, 12), (9, 44), (10, 37), (10, 33), (10, 56), (11, 25), (12, 34), (13, 42), (13, 40), (14, 20), (15, 52), (15, 28), (15, 39), (17, 28), (17, 19), (20, 56), (21, 32), (21, 35), (21, 55), (22, 36), (23, 38), (24, 59), (25, 33), (27, 50), (29, 56), (29, 30), (29, 42), (30, 44), (31, 49), (36, 53), (37, 57), (41, 44), (41, 49), (43, 48), (45, 52), (46, 53), (50, 57), (51, 55), (51, 54), (58, 59)]",333.8105216026306,True
10,177290.39609193458,"[(0, 23), (0, 21), (0, 40), (1, 27), (1, 13), (2, 7), (3, 12), (3, 35), (3, 56), (4, 30), (4, 23), (4, 33), (5, 8), (5, 12), (5, 53), (6, 42), (7, 57), (7, 52), (8, 19), (8, 51), (9, 37), (10, 16), (11, 50), (12, 48), (13, 20), (14, 45), (14, 43), (15, 58), (15, 57), (16, 30), (17, 44), (18, 55), (19, 29), (22, 42), (22, 23), (22, 44), (24, 28), (24, 37), (25, 32), (25, 59), (25, 38), (26, 47), (27, 53), (27, 47), (28, 46), (29, 39), (31, 55), (31, 41), (31, 49), (33, 54), (34, 40), (36, 46), (37, 53), (38, 42), (43, 59), (44, 46), (50, 55), (50, 59), (51, 58)]",316.5452766418457,True
