STT,Best Cost,Best Solution,Best Tree,Time,Is Tree?
1,11671.5940407589,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[(0, 5), (0, 6), (0, 7), (1, 2), (1, 3), (2, 4), (3, 7)]",1.5925178527832031,True
2,12010.081082599783,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(0, 3), (0, 5), (1, 3), (1, 6), (1, 7), (2, 3), (2, 4)]",1.4521052837371826,True
3,10729.504751930623,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[(0, 5), (0, 7), (1, 3), (2, 4), (2, 6), (3, 6), (3, 7)]",1.4000654220581055,True
4,10605.640459538372,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[(0, 5), (0, 7), (1, 2), (1, 3), (2, 4), (3, 6), (3, 7)]",1.4055507183074951,True
5,13789.278333248356,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[(0, 5), (0, 6), (0, 7), (1, 4), (1, 7), (2, 4), (3, 7)]",1.4668474197387695,True
6,9933.842119011657,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[(0, 5), (0, 7), (1, 6), (1, 7), (2, 4), (2, 6), (3, 7)]",1.5208232402801514,True
7,11901.392120337328,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[(0, 5), (0, 7), (1, 4), (1, 6), (1, 7), (2, 4), (3, 7)]",1.6622192859649658,True
8,10579.716196994648,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]","[(0, 5), (0, 7), (1, 2), (1, 3), (2, 4), (3, 7), (6, 7)]",1.5196583271026611,True
9,11013.95273543927,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[(0, 3), (0, 5), (0, 6), (1, 2), (1, 6), (2, 4), (3, 7)]",1.439979076385498,True
10,10962.746358853536,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[(0, 3), (0, 5), (0, 7), (1, 2), (1, 6), (2, 4), (6, 7)]",1.456326961517334,True
