STT,Best Cost,Best Solution,Best Tree,Time,Is Tree?
1,21429.7436368733,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[(0, 1), (0, 4), (1, 7), (2, 7), (3, 5), (5, 6), (5, 7)]",1.5499317646026611,True
2,17820.82727806903,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[(0, 1), (0, 7), (1, 2), (2, 4), (2, 5), (3, 5), (5, 6)]",1.4169731140136719,True
3,18327.700082562416,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[(0, 1), (0, 4), (1, 7), (2, 5), (3, 5), (3, 6), (4, 5)]",1.3969223499298096,True
4,17479.045867583678,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","[(0, 1), (0, 2), (0, 7), (1, 4), (3, 6), (4, 5), (5, 6)]",1.377828598022461,True
5,16370.174578353777,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","[(0, 1), (0, 7), (1, 4), (2, 4), (3, 6), (4, 5), (5, 6)]",1.2380547523498535,True
6,19743.35579944452,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]","[(0, 1), (1, 2), (1, 7), (3, 6), (4, 6), (4, 7), (5, 6)]",1.2800254821777344,True
7,19552.283662501115,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[(0, 1), (0, 7), (2, 4), (2, 6), (2, 7), (3, 6), (4, 5)]",1.273108720779419,True
8,19098.226448436908,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[(0, 1), (1, 2), (1, 7), (2, 4), (3, 6), (4, 6), (5, 6)]",1.280834674835205,True
9,16362.361996675976,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[(0, 1), (0, 7), (1, 2), (2, 4), (2, 5), (3, 6), (5, 6)]",1.5463058948516846,True
10,16617.91839049479,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[(0, 1), (0, 7), (1, 2), (1, 4), (2, 5), (3, 6), (5, 6)]",1.635117530822754,True
