STT,Best Cost,Best Solution,Best Tree,Time,Is Tree?
1,12888.37017023887,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[(0, 4), (0, 5), (0, 7), (1, 2), (1, 7), (2, 6), (3, 6)]",1.700524091720581,True
2,13157.475698333092,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[(0, 4), (0, 5), (0, 7), (1, 7), (2, 3), (2, 7), (3, 6)]",1.471376657485962,True
3,12774.459256309356,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[(0, 4), (0, 5), (0, 7), (1, 2), (1, 7), (2, 3), (3, 6)]",1.3532593250274658,True
4,13034.836305298082,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(0, 4), (0, 5), (0, 7), (1, 2), (1, 7), (2, 3), (2, 6)]",1.3282585144042969,True
5,15168.681857892765,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[(0, 1), (0, 4), (1, 6), (1, 7), (2, 3), (2, 7), (4, 5)]",1.30604887008667,True
6,14800.442791077354,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[(0, 1), (0, 4), (0, 5), (1, 2), (2, 7), (3, 6), (3, 7)]",1.3201241493225098,True
7,14428.934265068781,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[(0, 4), (0, 5), (0, 7), (1, 2), (1, 7), (2, 3), (6, 7)]",1.4556026458740234,True
8,13086.90448557471,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[(0, 4), (0, 5), (1, 2), (1, 3), (1, 7), (2, 6), (3, 5)]",1.5932705402374268,True
9,14209.823737006685,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[(0, 4), (0, 5), (1, 5), (1, 7), (2, 6), (2, 7), (3, 7)]",1.3760251998901367,True
10,13516.453535017481,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[(0, 1), (0, 4), (1, 2), (1, 7), (2, 3), (2, 6), (4, 5)]",1.3191959857940674,True
