STT,Best Cost,Best Solution,Best Tree,Time
1,"[0.06907440688085142, 0.5223602586629273, 0.1515069793917947, 0.3488829320193909, 0.6887159708441722, 0.1115040156713395, 0.11155968062562227, 0.7773266751459782, 0.3245865355931714, 0.7208498281912538, 0.41372041662792736, 0.9826970103153246, 0.07612863926830837, 0.6716486161781796, 0.7315304623637777, 0.5868485032370767, 0.04162502578305527, 0.6259059052375737, 0.9353454618986752, 0.6047249173223999, 0.7810861489038043, 0.6685486181935518, 0.20677467530996163, 0.7000476794172034, 0.5727494717754602, 0.03975381254135302, 0.5747318072995075, 0.47995612430951606, 0.7256937580030353, 0.27434845811065267, 0.291513518373834, 0.051921748497944065, 0.4778214831906633, 0.11709152586918792, 0.9530677808060463, 0.018149641044175824, 0.04044456243127925, 0.10216504946436955, 0.6702503560790548, 0.9330392778695835, 0.4190328868659362, 0.8833349355886306, 0.08787470102495121, 0.005203886090659915, 0.3885755013685429, 0.2063980098634054, 0.9822982758539099, 0.20111695211812952, 0.7576710890471245, 0.15862107808874182, 0.9520674454965402, 0.21434665069716352, 0.5124603830833856, 0.1750032134815519, 0.9806763099746051, 0.9040308458566803, 0.7115442124305548, 0.40238917533153007, 0.7725847119931301, 0.9771024877406718, 0.8982772695236166, 0.4396783298187543, 0.4192918304721154, 0.9850544319447294, 0.4813333698986819, 0.2661205213082237, 0.45320065420870226, 0.8640103659755216, 0.5275509959653991, 0.34412972041500467, 0.5812427719574584, 0.22244655163192795, 0.818669827041749, 0.5399993049368865, 0.0203999569401202, 0.04002585788964075, 0.9918396016554175, 0.3098376180764042, 0.014637341213007637, 0.4602045643508831, 0.6961688622784736, 0.9265744384823598, 0.8257837169203374, 0.051136573120020845, 0.13681731672423636, 0.24746320968317492, 0.16388288130317052, 0.7218539762441543, 0.31501999316403373, 0.3826521154290128, 0.4055308356616645, 0.2609493167781155, 0.7091884282164318, 0.2282186011944206, 0.7107388563957777, 0.02409040898544701, 0.17283085029738854, 0.7669734445886057, 0.7859096424649009, 0.9579953233438212, 0.3292389754988595, 0.9461162959461116, 0.9245070650364092, 0.14527317208342638, 0.6172330344653508]",31495.369553674107,"[(0, 12), (1, 6), (1, 8), (2, 10), (3, 11), (4, 9), (4, 14), (4, 10), (5, 9), (5, 13), (6, 14), (7, 12), (11, 12), (11, 14)]",19.274999380111694
2,"[0.3692455950835928, 0.2443859936927757, 0.5661515393067678, 0.6054514052835965, 0.8262834531958794, 0.7469759507383019, 0.09517987210469891, 0.2946695122747237, 0.7806147429787258, 0.10253966388820512, 0.8803567905667103, 0.37145402105856673, 0.9014223443966024, 0.26052069941831857, 0.36466767034682157, 0.946238816741303, 0.5017111859111979, 0.7378161071642426, 0.8055033710856735, 0.9602557617786871, 0.5784225401699943, 0.8834471484617947, 0.13843167008119261, 0.8076733924715813, 0.39484058255311705, 0.08812162994602935, 0.9415321014135207, 0.3367006382254284, 0.01739956066325432, 0.2437211653469079, 0.14663216772042653, 0.0065418472658836935, 0.3132204967014941, 0.7887175471107797, 0.036801075743414735, 0.3576784476967445, 0.5936538030835335, 0.9571208747408386, 0.5558077546252151, 0.7113524332454012, 0.402305637071082, 0.3843456119587506, 0.6170820888331314, 0.560166965883414, 0.5534914499397557, 0.02656920849206501, 0.46075668384781787, 0.36592798037650265, 0.5841026434314168, 0.020499967864499813, 0.906492292806402, 0.2783530009775127, 0.5954286300301883, 0.044995271983929275, 0.9467653447011808, 0.4075548262593296, 0.7105922858012504, 0.5379313670591953, 0.3059765307580369, 0.4605693124997302, 0.8606779381050923, 0.09762447552733244, 0.33312215296495895, 0.524727973281923, 0.9255234489875425, 0.8645263684754135, 0.4667325935280039, 0.29378664151982414, 0.6147839639919986, 0.9697658742179976, 0.7416390543338393, 0.9759467047599688, 0.4005912231276705, 0.25946776790184256, 0.6379463467592751, 0.9058453171925921, 0.9612888833219349, 0.8263406079069889, 0.7374047594761036, 0.3281435014580577, 0.9252202611143674, 0.40817886978867, 0.5310699402321774, 0.1343317322308688, 0.36877169214223593, 0.3861247962722294, 0.4601614686055837, 0.5191080616608745, 0.5259957185981003, 0.7620558874363222, 0.3893795172163287, 0.34161212912042793, 0.3414951712727524, 0.8066344669573152, 0.5661515393067678, 0.17185599026492282, 0.008647478716675261, 0.8202735334821888, 0.06448533848520055, 0.21667346447974867, 0.20533611299670018, 0.684776238316273, 0.011973700792000774, 0.7099300987321707, 0.09231614445633496]",31886.788669898546,"[(0, 13), (0, 11), (1, 7), (1, 3), (2, 13), (4, 9), (4, 5), (5, 10), (6, 9), (6, 7), (6, 14), (7, 11), (8, 14), (12, 14)]",18.69504141807556
3,"[0.674947331863759, 0.48152840793188234, 0.20548651111021232, 0.5221279506515941, 0.21658213285971517, 0.8640613213831143, 0.5342489498860128, 0.13583237369356627, 0.8387701562144277, 0.35295100204422936, 0.8308920230875565, 0.11042949328396634, 0.9343510355416975, 0.9785977874638785, 0.20482377392745243, 0.8749805343379848, 0.4457888815412524, 0.07371979426289499, 0.30028971137786564, 0.7700515236019214, 0.7997368486875045, 0.6508624905421764, 0.6157609221364614, 0.5598753653781552, 0.6832736474852175, 0.4126540961631576, 0.3540177910362773, 0.6878492054793381, 0.6136134957851047, 0.7731454146148663, 0.6942966640671882, 0.2688185197954934, 0.4163909388001451, 0.943246605917386, 0.8482185257280064, 0.35207987198253876, 0.2991381617152189, 0.20337217804993613, 0.3165403784602383, 0.5538774094192019, 0.37695611512798655, 0.2621410849044764, 0.20475662631675662, 0.9803513371147101, 0.08296358675316529, 0.387099195782886, 0.4250168429041198, 0.10621218169168933, 0.4875268354311747, 0.5036436383856486, 0.18612538916147336, 0.7616434218848478, 0.39080275293874067, 0.651168814557617, 0.43015140001028107, 0.9910640700918018, 0.3860436385570334, 0.40913092393519146, 0.3287305704110828, 0.24548070741345007, 0.37319594993805527, 0.6764394883546232, 0.3731688419867961, 0.3557749059052405, 0.7381335693697467, 0.047808485429051695, 0.14049133991724438, 0.252045988977733, 0.12962484690431997, 0.9856206368195275, 0.9944434074449446, 0.17538885441325514, 0.18213061054200252, 0.5876850934367633, 0.9478419168365823, 0.09580298718180047, 0.9845636155474452, 0.9813720804310666, 0.9956460837791434, 0.039849876883212954, 0.7977287942905069, 0.2417781571649099, 0.415728510333353, 0.7836241235613178, 0.9144214043883908, 0.18185791954607955, 0.19685121582242138, 0.9185416703967594, 0.7625139970236353, 0.45377765882057264, 0.5702971989633971, 0.5002489920762062, 0.9428032753065525, 0.07901028956696177, 0.6878198021928209, 0.45160385142350623, 0.8322949322987818, 0.20348098475641674, 0.23324993688763163, 0.8158214215369745, 0.7040447356387394, 0.9418290153960057, 0.09878032500175493, 0.9840550245354701, 0.6846541907634791]",29463.61388429381,"[(0, 14), (0, 13), (0, 11), (1, 3), (2, 9), (2, 10), (2, 5), (3, 8), (4, 10), (6, 8), (6, 7), (6, 14), (7, 9), (12, 14)]",21.873497486114502
4,"[0.4310635904750222, 0.614155219556809, 0.185077803449339, 0.4727409011701953, 0.802806233338168, 0.638061233917128, 0.14215552052346314, 0.73515383918265, 0.4771801402693632, 0.40617262470575033, 0.33363250807041267, 0.9938041201100715, 0.42509511039315206, 0.6041382023916224, 0.7699604044109656, 0.890235382008258, 0.5246505270965244, 0.25887829292920594, 0.3692550351726436, 0.6180910394564173, 0.058473695233907, 0.4439933743944806, 0.7627091309578461, 0.6800470547300382, 0.8527608055892708, 0.1600167636583023, 0.7716286554402026, 0.75312570002329, 0.003959207655224395, 0.8877381901404499, 0.21324210700257518, 0.4386128255475803, 0.7140785461593488, 0.4406730062422314, 0.8661520734771986, 0.0040394369164657995, 0.0831061920759456, 0.3528577809349366, 0.11953481036001479, 0.5622170863173664, 0.7918511317572818, 0.4083627746682168, 0.1961737477391864, 0.9844491813837293, 0.7634786152714811, 0.23278604683130488, 0.5716949403458286, 0.8403618483630827, 0.4242530282211765, 0.18971236485955478, 0.09852290782485662, 0.1064068226230549, 0.6190204890225154, 0.43204636188179, 0.9863501512719753, 0.04333288223548115, 0.4115070748037356, 0.291701894420074, 0.6825299355679539, 0.22611770709587242, 0.20603962326115233, 0.6542107412733916, 0.0002054497795325183, 0.37825165341579814, 0.430824809580035, 0.052602395486869735, 0.35896092557358705, 0.3019650850436252, 0.1692748215148302, 0.8342241047210441, 0.7054234802357959, 0.9608073410136347, 0.3100233249034271, 0.9384156822420098, 0.9152532522015578, 0.615908399813054, 0.649231431274959, 0.5495809643970462, 0.4718009738684521, 0.43381842040541785, 0.7009868944622358, 0.8108141452490513, 0.06743628456301809, 0.1167680921401375, 0.060775809826782545, 0.30818289935859633, 0.14547966935593926, 0.32039527859894723, 0.1844529414421645, 0.14434655333831825, 0.9797180476671924, 0.763444384263406, 0.24430829408803323, 0.2717326559547464, 0.1600167636583023, 0.05688349462814568, 0.10429386677058938, 0.014188733015312538, 0.6522613939764077, 0.7342104312287475, 0.6625033261098693, 0.7225575738109218, 0.13548160174749735, 0.30379691712749723, 0.2384729051537805]",26152.094486978298,"[(0, 12), (1, 3), (1, 12), (1, 14), (2, 5), (2, 10), (3, 8), (4, 9), (4, 13), (6, 9), (6, 11), (6, 12), (7, 11), (9, 10)]",18.960164070129395
5,"[0.3498794154388044, 0.6104208616334752, 0.6875952836757716, 0.4671069743380576, 0.7356894763424566, 0.8287871705530989, 0.9817246367244195, 0.12141584211554479, 0.9836877591583923, 0.5489813665503116, 0.20506301844649255, 0.5473923483818561, 0.7648825614907132, 0.16605891332460443, 0.7300158760152485, 0.15620878296855079, 0.6534306173380776, 0.6790480008965168, 0.007355153561950378, 0.9315358377938778, 0.24453035429335213, 0.7656144048786684, 0.13885515143573535, 0.8085095879250659, 0.7329086777387678, 0.445290709110992, 0.9426238295500554, 0.10733540325387925, 0.21547907944825673, 0.9809214668872145, 0.19028952167044455, 0.237949103057445, 0.747684083143352, 0.43791814776547566, 0.9054960884082502, 0.8834146716197915, 0.5194339352996076, 0.07430798133231353, 0.09525088364243672, 0.30145382700172596, 0.2743812263117553, 0.9954915466177027, 0.3871885165926725, 0.8773023445787788, 0.13594853256742268, 0.2021059519241727, 0.1379590409147059, 0.5672957523773102, 0.8173109063295537, 0.7573749985872226, 0.0018351499444040353, 0.039990638360531516, 0.35135641283580565, 0.8683551079237828, 0.989626087474623, 0.05172250715340321, 0.49421965243215027, 0.052399915236240546, 0.930043143649943, 0.8881246454208374, 0.8087476648727348, 0.5134528593437286, 0.031106997192123398, 0.3493710796037103, 0.9200081400465353, 0.32638807434009276, 0.4632386420214516, 0.797234636716962, 0.11368597144224679, 0.5728242891101474, 0.40632577743686615, 0.7377564053720027, 0.7315278360454697, 0.5997668040987801, 0.9212234567806076, 0.650940267854763, 0.28603347820560143, 0.6519046830212936, 0.9628811429755904, 0.2950363112751332, 0.9925235307529628, 0.6100015543737951, 0.7633191940827212, 0.2756626393970122, 0.3044431731684356, 0.6698812112410696, 0.4752056338687338, 0.773423243210655, 0.5252537705656624, 0.5234188716121863, 0.8466962601555716, 0.4858330381601841, 0.1663095589500907, 0.334666191804483, 0.19028952167044455, 0.884557735455502, 0.25559894740249056, 0.6615923325545929, 0.7240737135543729, 0.9723026027543651, 0.31477583029312073, 0.953434659037797, 0.142683227612177, 0.3993948794753617, 0.7022727269180106]",28452.180295062037,"[(0, 9), (0, 7), (1, 14), (2, 5), (3, 6), (3, 8), (4, 9), (4, 13), (5, 10), (6, 12), (7, 11), (9, 10), (11, 12), (11, 14)]",18.338515520095825
6,"[0.005765861740326006, 0.055503483022560696, 0.28452909924136127, 0.6170622971853952, 0.6647127413848563, 0.8370150784693843, 0.8587737801002825, 0.7890875366039631, 0.7060039075467617, 0.39711037817112826, 0.8406064694211917, 0.7981681456420041, 0.04204433208040936, 0.3030121699288897, 0.8358184353711643, 0.8643296209185112, 0.12419265204464514, 0.6865847717937577, 0.7478839485904374, 0.15080184617122538, 0.6464125824439598, 0.6393284508418839, 0.27105284190971135, 0.6329346926849259, 0.7448025552336085, 0.4197515615038978, 0.7261863508663512, 0.8765278946667946, 0.6124190609143101, 0.9831465172637766, 0.28241148499934376, 0.01704589599241646, 0.6757260757570797, 0.32733656428615876, 0.37630526519481666, 0.566178139840443, 0.8812637641429448, 0.9663182657245651, 0.8367465416352232, 0.11033891162137177, 0.08570939329877802, 0.6600826541114918, 0.5576762991054889, 0.8519540308520396, 0.9797552264588699, 0.5140538985727484, 0.43539311950533344, 0.22564724691989746, 0.6698549886391504, 0.7539906172004983, 0.8614028664898441, 0.06961876740326278, 0.2991009003101468, 0.5749366077980296, 0.9020468818464532, 0.883655511350926, 0.20680675056111852, 0.5480263960160998, 0.7320918148549124, 0.0016782915038255908, 0.2263442679812553, 0.0519316333153802, 0.06434542723493197, 0.3610434469328997, 0.16857898932638538, 0.040047245296412126, 0.28232928368085675, 0.8779193211266437, 0.5253715590593675, 0.8259625555338869, 0.49560635658122754, 0.023389269070086982, 0.8253917872843697, 0.8628698210105094, 0.953367082885973, 0.8412495893157876, 0.18034405422161692, 0.046468222388392655, 0.4420212260844062, 0.5707687795775284, 0.4909243512516239, 0.5203810863608731, 0.5381244492883962, 0.21143615170858976, 0.6671390863666756, 0.6600573174881462, 0.4443152600379454, 0.8676722131179838, 0.4338108261469522, 0.23957756125401897, 0.5973471442163713, 0.3466326117481279, 0.9808871981018654, 0.8096834073245267, 0.7036999080276555, 0.2952679063174267, 0.8531205230514229, 0.6988318834939682, 0.4369217623451713, 0.01728307775020932, 0.7389831186568125, 0.5481253149905772, 0.27022732751642, 0.5799035569330815, 0.302089498709326]",35560.44312186619,"[(0, 7), (0, 11), (1, 3), (1, 14), (2, 5), (2, 13), (2, 12), (3, 9), (3, 8), (4, 9), (4, 10), (6, 12), (6, 11), (9, 12)]",19.961146116256714
7,"[0.8405143087070391, 0.04390358873749922, 0.10692993140282547, 0.7149266379982547, 0.5797005532172439, 0.045931184602772235, 0.16191556065482948, 0.41982790291175376, 0.2799369678868515, 0.8148926639140238, 0.21352181812528426, 0.8330994044438808, 0.03766699365260384, 0.9400863091418185, 0.07723439970943269, 0.8449975526379263, 0.1896550605003814, 0.6332633178738545, 0.8819335666988856, 0.8233314111980996, 0.15910728124600726, 0.39144264692809405, 0.6860012609001538, 0.22422175131056454, 0.15599644112427402, 0.21775963778183505, 0.6192609578675977, 0.7042742458015431, 0.8037986806584271, 0.07382436634445577, 0.7313482225276232, 0.10838510764039067, 0.03750896284020078, 0.8690367969632559, 0.666115842842972, 0.03587773823949414, 0.033221111456537056, 0.8856878209911817, 0.4593759732501411, 0.46054643522797956, 0.5955140610708722, 0.3909690455893414, 0.2955549804650327, 0.8460360737795036, 0.27726842158145426, 0.2863087650682298, 0.27843256383043036, 0.2719581982838506, 0.2238676541517508, 0.5622057380438858, 0.9735656849707909, 0.3538679635877995, 0.6589442554848094, 0.6979916485773434, 0.9944599889752158, 0.7419728000637554, 0.5123768385377799, 0.9583286184995564, 0.6637892095848392, 0.3066924759304974, 0.47966766016122697, 0.29496794410970884, 0.07583745740373737, 0.6305995281886276, 0.6724983819881617, 0.6290923761684761, 0.22487351299664682, 0.5258564473124171, 0.1389815656454909, 0.08847003601113113, 0.14794476887319274, 0.2964332411132048, 0.6558386873953495, 0.6173261578180429, 0.7347101078401092, 0.30354261826555784, 0.8443255709852333, 0.7632228027284673, 0.04272377930199189, 0.31232574440649796, 0.9277548499529767, 0.6437859771990135, 0.7674028399442381, 0.45552775472304785, 0.4593915380882727, 0.8219514567946435, 0.01150437572865226, 0.5050699483249316, 0.14559302373037297, 0.1919791980203681, 0.8975482834633304, 0.6231935675268017, 0.22862823738456373, 0.49822740773261087, 0.6833819052516942, 0.5939110577343182, 0.25588891168431305, 0.04356941669682668, 0.653888826942261, 0.8153258537210926, 0.3309466839807026, 0.7312480807705213, 0.2253683725598532, 0.8968554982736376, 0.523272364634036]",23338.765269086107,"[(0, 14), (1, 6), (1, 3), (1, 7), (2, 13), (2, 9), (3, 8), (4, 9), (4, 5), (4, 12), (6, 14), (7, 11), (9, 10), (12, 14)]",16.50854516029358
8,"[0.32528904678767234, 0.9604606577900726, 0.29264854668345863, 0.22359549983091853, 0.18370606008591073, 0.07808862165234032, 0.9653806964794277, 0.6041086167677278, 0.09523810083442796, 0.47218743701324406, 0.27460591022802217, 0.5055900828292581, 0.40706712636029707, 0.8095802154169969, 0.41555097342719827, 0.15407605066117747, 0.07999766857370538, 0.020140646471894952, 0.9395537391274501, 0.04126876378845212, 0.21905852288565886, 0.26874129171229544, 0.24221092947013212, 0.5521999664849546, 0.1822558183026809, 0.22639468173449828, 0.9831200607891859, 0.7376441442924042, 0.8085071244310393, 0.9256798317328061, 0.7587252428012247, 0.5606223876308495, 0.03936847082032713, 0.6895611179022244, 0.6570543655612311, 0.8450734019705238, 0.8582997819298183, 0.878465002932207, 0.9496456668623428, 0.6361457600554288, 0.4235349238751799, 0.18177083561224838, 0.20107592018977127, 0.9307547503940851, 0.49122695749687073, 0.07330394461331169, 0.43167161363107187, 0.15617401360741745, 0.015306313637467373, 0.4772437137179223, 0.7727114319800643, 0.23957063391205702, 0.20412131563367675, 0.09675233073429224, 0.7659427990643041, 0.9970693257683709, 0.3375257931461738, 0.355757948775402, 0.45301284043217893, 0.31746907422147097, 0.9141595795177383, 0.06663749702631694, 0.5590876424431357, 0.22109615522851978, 0.802249787013221, 0.06358469473253436, 0.12724797294106105, 0.1845430133023631, 0.08346761567504779, 0.3617103111154869, 0.8575868025440856, 0.7721915154018336, 0.4658760466332844, 0.6120943744619893, 0.9455906995633189, 0.10888746467686394, 0.07017664129403889, 0.2002439056628208, 0.5854571900649034, 0.2302845644021141, 0.6567138192009413, 0.24265436421165365, 0.28627263734456376, 0.9514594194807878, 0.0741311639307457, 0.4056294593646915, 0.4270209966903874, 0.26780842069565125, 0.2096717982778339, 0.8015680930568465, 0.5836689875211697, 0.12399864628531543, 0.37587298275463776, 0.4657163084644407, 0.8771156146868122, 0.3773461929644776, 0.11098439090118506, 0.690996093122308, 0.6940041407420429, 0.7495216214800557, 0.6492306929502388, 0.9868196006632555, 0.11123270672698504, 0.5877030179701779, 0.19905819305814343]",28192.44638762896,"[(0, 7), (0, 2), (1, 14), (1, 6), (2, 5), (2, 13), (3, 8), (4, 10), (4, 9), (5, 10), (6, 12), (6, 8), (7, 14), (11, 14)]",18.316528797149658
9,"[0.3961870220715955, 0.0323701008987779, 0.5211475866145892, 0.5346698099129384, 0.4257444541365152, 0.20455750587532529, 0.17636755482289435, 0.7569785024928617, 0.22449132693306761, 0.15199892180460317, 0.8363385467716998, 0.7331029083224763, 0.6416811189718422, 0.3547523330848168, 0.6832276883276248, 0.06814652450193182, 0.39974393535188135, 0.13027121057032698, 0.1554740896930641, 0.9768123554484782, 0.10749312693435609, 0.11552035117231296, 0.016938862866264226, 0.924123523347126, 0.7283667846865797, 0.14801404928113215, 0.029031330358525453, 0.8698521920544016, 0.9517560961586612, 0.6432444588889161, 0.5027842411120503, 0.7294391530622263, 0.828927423546591, 0.7609657970772569, 0.2272093708551277, 0.5925154333176248, 0.7023337563361415, 0.9320540951368737, 0.3193517431444284, 0.15444153497122093, 0.3721395114197814, 0.6171802594230262, 0.5577940190582641, 0.957139554771454, 0.21088845395523537, 0.42262368527133776, 0.28292587033838135, 0.15582803563594627, 0.7762263478703167, 0.8845533688625852, 0.5398398524113737, 0.05522600709457104, 0.5513271885862163, 0.43025311826807977, 0.23312446409990895, 0.9045640215195222, 0.7034455770228298, 0.6056842464465299, 0.2579571203936827, 0.5405742277941794, 0.4060855608258286, 0.5667457115004931, 0.12985438525271176, 0.6606959749488927, 0.6303515701676022, 0.16093370742720936, 0.5107081814050382, 0.3103135914251125, 0.4251648941191293, 0.22781940493288966, 0.5378285940329219, 0.36562841143287605, 0.1683102777638681, 0.12123789904587123, 0.2227921257364156, 0.3548945267186111, 0.6743381578218269, 0.15961070590762239, 0.3571832237267475, 0.780115202369456, 0.7102801529610324, 0.7538424807793138, 0.3547523330848168, 0.9985205926275449, 0.7224820418727687, 0.6437120770602072, 0.13244248888693677, 0.43118342949275956, 0.7253812482190193, 0.7449553870852768, 0.42408877269356837, 0.18108119422350888, 0.5198672789054943, 0.8228215500346931, 0.29254122983640296, 0.3970891744228955, 0.9242800935968725, 0.003548706902404497, 0.8679880862830053, 0.9005327019294427, 0.5389483948324093, 0.2846704779802458, 0.524685796163055, 0.5093902862644173, 0.7069056022344824]",24424.94879694541,"[(0, 11), (1, 7), (1, 11), (2, 4), (2, 13), (3, 8), (3, 14), (4, 10), (5, 9), (6, 14), (7, 14), (9, 13), (10, 12), (11, 12)]",20.081526517868042
10,"[0.830798162916869, 0.36382190720620033, 0.2574607080297142, 0.40161813146164704, 0.6969122830842077, 0.6171752847531374, 0.7403855439168888, 0.34934651638087333, 0.1768430639710007, 0.8640650701755801, 0.99662891615475, 0.11472410151431556, 0.9031314666705207, 0.49032718661626584, 0.6532269830659272, 0.47140762943164016, 0.9436874570239495, 0.8949296490263383, 0.8621412934165904, 0.5722452189209647, 0.4972190854279823, 0.2228898861160229, 0.44631247252306505, 0.7534082971470387, 0.29631303941113474, 0.620542324955357, 0.9482642436986966, 0.02629899071215147, 0.7541742995992112, 0.9351707773732496, 0.262534545895157, 0.6475503442186108, 0.8955949549089068, 0.401781209955812, 0.8432476757181077, 0.359705638124144, 0.6340605773074612, 0.24004664530851527, 0.3449499305179934, 0.1711119659201059, 0.06905366539126545, 0.6456328268163927, 0.23710088939793605, 0.8048237438065173, 0.21036134538153528, 0.4276962877412994, 0.462208412438347, 0.38187673906512287, 0.7390854855283733, 0.19469860611446743, 0.9723540393423601, 0.31709212776709217, 0.8082394090364402, 0.8022027204599465, 0.9396052214035174, 0.6373237680054614, 0.7141451610140873, 0.10858822504353116, 0.1530819465319596, 0.39167384921613735, 0.2877990811116582, 0.37222038634581955, 0.53161997161522, 0.9980630194840775, 0.2885945316490891, 0.02580916596121463, 0.05290701283899235, 0.9195178479923953, 0.25551264847044663, 0.7824461387754114, 0.21540412863052483, 0.7218277601334023, 0.8062921436297876, 0.3716099687204255, 0.6675858477276851, 0.041906382430678235, 0.3258212627990491, 0.9919911559240507, 0.0576686860205724, 0.21148734427122973, 0.6306178197098199, 0.5351225047317352, 0.11458355396388309, 0.9209770374022592, 0.1849789511362565, 0.3503468501901391, 0.5708636795533341, 0.5289704955312433, 0.41595426117698764, 0.8079147073869589, 0.8982345752385089, 0.9959786224341337, 0.8520982144843958, 0.4383141586438436, 0.2955415178762474, 0.11579205585926433, 0.33345916087940053, 0.4513096806943456, 0.8941370207634249, 0.9481962634912203, 0.7432542684349532, 0.49650110143952786, 0.6259289982614756, 0.994986950611075, 0.43487533798714817]",26959.828019615474,"[(0, 11), (0, 13), (1, 14), (1, 6), (2, 5), (3, 8), (4, 5), (5, 9), (7, 8), (7, 14), (9, 11), (9, 10), (11, 12), (12, 14)]",18.793275117874146
