STT,Best Cost,Best Solution,Best Tree,Time
1,"[12, 10, 2, 6, 9, 1, 11, 27, 29, 4, 29, 17, 24, 0, 26, 21, 5, 0, 8, 24, 7, 18, 26, 8, 3, 25, 22, 18]",67043.77827418348,"[(0, 19), (0, 5), (0, 8), (1, 9), (1, 11), (2, 10), (2, 6), (3, 8), (3, 25), (4, 15), (4, 29), (5, 21), (6, 9), (7, 24), (7, 18), (8, 26), (10, 12), (11, 27), (12, 13), (14, 29), (16, 17), (17, 24), (18, 22), (18, 29), (20, 26), (21, 23), (22, 25), (24, 27), (26, 28)]",1.3052542209625244
2,"[28, 7, 8, 19, 0, 25, 14, 4, 10, 2, 6, 9, 1, 17, 5, 21, 22, 11, 27, 24, 16, 18, 3, 1, 13, 3, 27, 23]",73840.0252597138,"[(0, 19), (0, 25), (1, 9), (1, 28), (1, 13), (2, 10), (2, 6), (3, 18), (3, 13), (3, 27), (4, 14), (4, 10), (5, 17), (5, 21), (6, 9), (7, 15), (7, 8), (8, 19), (11, 22), (11, 27), (12, 28), (14, 20), (16, 24), (16, 18), (17, 25), (21, 22), (23, 27), (23, 29), (24, 26)]",1.3072333335876465
3,"[4, 26, 25, 5, 2, 6, 13, 1, 12, 9, 0, 14, 4, 29, 11, 22, 10, 20, 18, 22, 7, 19, 0, 3, 10, 8, 27, 29]",76625.30007159091,"[(0, 9), (0, 19), (0, 3), (1, 13), (1, 12), (2, 5), (2, 6), (3, 10), (4, 15), (4, 14), (4, 29), (5, 21), (6, 13), (7, 22), (7, 19), (8, 10), (8, 27), (9, 12), (10, 25), (11, 24), (11, 22), (14, 23), (16, 26), (17, 25), (18, 20), (18, 22), (20, 26), (27, 29), (28, 29)]",1.487149715423584
4,"[10, 14, 13, 9, 19, 7, 0, 18, 29, 8, 25, 17, 11, 10, 2, 12, 26, 8, 22, 3, 25, 3, 12, 6, 17, 22, 11, 27]",76657.85743610421,"[(0, 7), (0, 18), (1, 10), (2, 10), (2, 12), (3, 26), (3, 25), (3, 12), (4, 14), (5, 13), (6, 12), (6, 17), (7, 14), (8, 16), (8, 24), (8, 22), (9, 13), (9, 19), (10, 21), (11, 20), (11, 22), (11, 27), (15, 29), (17, 19), (17, 22), (18, 25), (23, 26), (25, 28), (27, 29)]",1.3412535190582275
5,"[2, 4, 27, 11, 7, 24, 26, 12, 9, 12, 1, 29, 29, 0, 6, 14, 8, 13, 3, 20, 22, 22, 3, 16, 5, 2, 5, 8]",85163.40756640713,"[(0, 24), (0, 6), (1, 12), (1, 29), (2, 10), (2, 28), (2, 5), (3, 13), (3, 22), (3, 16), (4, 15), (4, 27), (5, 16), (5, 8), (6, 14), (7, 11), (7, 24), (8, 14), (8, 29), (9, 21), (9, 12), (11, 17), (12, 19), (13, 25), (18, 26), (20, 26), (20, 22), (22, 27), (23, 29)]",1.3342359066009521
6,"[3, 0, 2, 1, 10, 2, 12, 3, 18, 7, 9, 24, 19, 7, 8, 26, 27, 29, 17, 24, 17, 26, 8, 0, 16, 19, 28, 11]",75471.78251979532,"[(0, 5), (0, 8), (0, 16), (1, 13), (1, 10), (2, 6), (2, 10), (2, 12), (3, 4), (3, 12), (3, 18), (7, 14), (7, 20), (7, 8), (8, 26), (9, 15), (9, 24), (11, 28), (11, 29), (16, 19), (17, 25), (17, 24), (17, 26), (18, 19), (19, 28), (21, 26), (22, 27), (23, 29), (24, 27)]",1.3022558689117432
7,"[6, 1, 8, 22, 28, 28, 0, 4, 23, 3, 21, 0, 7, 17, 6, 10, 19, 25, 19, 18, 26, 14, 27, 11, 14, 29, 20, 11]",71406.03563179908,"[(0, 13), (0, 21), (0, 7), (1, 5), (1, 8), (2, 6), (3, 16), (3, 21), (4, 15), (4, 23), (6, 17), (6, 10), (7, 17), (8, 22), (9, 28), (10, 19), (11, 26), (11, 20), (11, 29), (12, 28), (14, 24), (14, 27), (14, 29), (18, 19), (18, 26), (19, 23), (20, 28), (22, 25), (25, 27)]",1.2342941761016846
8,"[6, 2, 1, 15, 1, 8, 7, 26, 9, 18, 5, 9, 20, 23, 25, 25, 26, 20, 29, 22, 0, 14, 29, 24, 17, 27, 3, 4]",82801.25845368601,"[(0, 22), (0, 14), (1, 2), (1, 12), (1, 8), (2, 6), (3, 27), (3, 4), (4, 29), (5, 16), (5, 9), (6, 10), (7, 8), (7, 26), (9, 13), (9, 20), (11, 15), (14, 29), (15, 18), (17, 24), (17, 27), (18, 23), (19, 25), (20, 25), (20, 29), (21, 25), (22, 26), (23, 26), (24, 28)]",1.1693108081817627
9,"[0, 22, 1, 2, 6, 4, 5, 26, 15, 4, 24, 3, 25, 8, 3, 23, 14, 12, 5, 21, 6, 10, 13, 19, 28, 29, 17, 24]",74456.46050136372,"[(0, 7), (0, 22), (1, 9), (1, 2), (2, 6), (3, 22), (3, 8), (3, 23), (4, 11), (4, 15), (4, 24), (5, 16), (5, 12), (5, 21), (6, 21), (6, 10), (8, 25), (10, 13), (12, 14), (13, 19), (14, 23), (15, 20), (17, 28), (17, 24), (18, 26), (19, 28), (24, 29), (25, 26), (27, 29)]",1.209310531616211
10,"[1, 3, 8, 4, 15, 27, 7, 3, 22, 22, 7, 12, 1, 10, 6, 2, 11, 25, 11, 29, 26, 0, 5, 9, 2, 5, 21, 14]",69343.63985427046,"[(0, 26), (0, 5), (1, 13), (1, 12), (1, 10), (2, 6), (2, 9), (2, 5), (3, 16), (3, 19), (3, 22), (4, 8), (4, 15), (5, 21), (6, 10), (7, 18), (7, 22), (7, 12), (8, 17), (9, 28), (11, 23), (11, 25), (11, 29), (14, 21), (14, 29), (15, 27), (20, 22), (24, 25), (26, 27)]",1.2702736854553223
