STT,Best Cost,Best Tree,Time,Is Tree?
1,27708.494725449364,"[(0, 6), (0, 7), (1, 9), (1, 11), (1, 4), (2, 11), (2, 10), (3, 13), (3, 6), (5, 11), (7, 9), (8, 13), (10, 12), (12, 14)]",27.28736138343811,True
2,27028.954003979114,"[(0, 3), (1, 13), (2, 12), (2, 11), (3, 4), (3, 7), (4, 13), (5, 11), (6, 7), (7, 8), (9, 12), (9, 13), (9, 10), (12, 14)]",25.511382341384888,True
3,28574.642259820153,"[(0, 7), (0, 6), (1, 8), (1, 9), (2, 14), (2, 9), (2, 4), (3, 13), (3, 7), (4, 13), (5, 8), (9, 11), (10, 13), (10, 12)]",30.069770097732544,True
4,28315.55475469954,"[(0, 3), (1, 9), (1, 5), (1, 2), (3, 7), (3, 6), (4, 12), (4, 7), (7, 13), (8, 13), (9, 13), (10, 11), (10, 12), (10, 14)]",23.855329036712646,True
5,24444.917894404312,"[(0, 6), (1, 4), (1, 11), (1, 2), (3, 7), (3, 9), (4, 13), (5, 13), (6, 7), (8, 13), (9, 12), (9, 11), (10, 11), (12, 14)]",28.462690591812134,True
6,27680.095502016666,"[(0, 3), (0, 6), (1, 2), (1, 4), (2, 9), (2, 10), (3, 7), (4, 13), (4, 6), (5, 8), (8, 13), (9, 11), (9, 12), (11, 14)]",41.66812229156494,True
7,28858.786576731076,"[(0, 7), (1, 3), (1, 13), (2, 9), (3, 6), (3, 4), (4, 10), (4, 11), (5, 8), (6, 7), (8, 13), (9, 14), (9, 11), (11, 12)]",31.043211698532104,True
8,27394.44859771904,"[(0, 6), (1, 10), (1, 13), (2, 11), (2, 10), (2, 4), (3, 4), (3, 7), (5, 9), (6, 8), (6, 7), (9, 14), (9, 12), (10, 12)]",25.738251209259033,True
9,24780.514120821925,"[(0, 6), (0, 13), (1, 12), (1, 2), (3, 7), (3, 4), (4, 11), (5, 8), (6, 7), (8, 13), (9, 10), (10, 12), (11, 14), (11, 12)]",28.26280450820923,True
10,24246.33908263443,"[(0, 6), (1, 11), (1, 8), (2, 11), (2, 14), (3, 12), (3, 7), (3, 13), (4, 6), (4, 7), (5, 8), (9, 12), (9, 11), (10, 12)]",27.54623556137085,True
